region,state,lgbtq_total,lgbtq_perc,govt_fund
alaska,AK,11,11.458333333333332,72.91666666666666
alabama,AL,26,16.99346405228758,67.97385620915033
arkansas,AR,30,17.964071856287426,61.07784431137725
arizona,AZ,136,30.493273542600896,46.18834080717489
california,CA,575,31.997774067890926,44.296048970506405
colorado,CO,112,27.450980392156865,50.49019607843137
connecticut,CT,52,23.636363636363637,71.36363636363636
delaware,DE,10,22.727272727272727,43.18181818181818
florida,FL,199,27.448275862068964,41.6551724137931
georgia,GA,81,22.62569832402235,33.5195530726257
hawaii,HI,24,14.37125748502994,85.62874251497006
iowa,IA,23,12.299465240641712,59.893048128342244
idaho,ID,25,20.161290322580644,47.58064516129033
illinois,IL,128,16.516129032258064,52.38709677419355
indiana,IN,45,11.450381679389313,54.19847328244275
kansas,KS,34,18.994413407821227,61.452513966480446
kentucky,KY,85,18.93095768374165,39.86636971046771
louisiana,LA,33,22.602739726027394,53.42465753424658
massachusetts,MA,116,26.48401826484018,56.39269406392694
maryland,MD,112,25.986078886310903,23.897911832946637
maine,ME,41,22.043010752688172,48.924731182795696
michigan,MI,101,21.627408993576015,59.52890792291221
minnesota,MN,77,19.106699751861044,43.67245657568238
missouri,MO,37,13.167259786476867,75.08896797153025
mississippi,MS,22,20,61.81818181818181
montana,MT,16,18.181818181818183,69.31818181818183
north carolina,NC,141,25.543478260869566,40.76086956521739
north dakota,ND,7,8.235294117647058,44.70588235294118
nebraska,NE,20,15.267175572519085,73.2824427480916
new hampshire,NH,18,22.5,35
new jersey,NJ,117,31.62162162162162,49.45945945945946
new mexico,NM,61,36.74698795180723,65.66265060240963
nevada,NV,33,31.132075471698112,56.60377358490566
new york,NY,203,21.945945945945947,53.4054054054054
ohio,OH,87,15.703971119133575,64.98194945848375
oklahoma,OK,52,25,67.3076923076923
oregon,OR,57,24.358974358974358,58.119658119658126
pennsylvania,PA,133,22.166666666666668,53.166666666666664
rhode island,RI,8,13.559322033898304,55.932203389830505
south carolina,SC,15,12.396694214876034,59.50413223140496
south dakota,SD,9,15.254237288135593,79.66101694915254
tennessee,TN,53,16.93290734824281,63.578274760383394
texas,TX,108,21.09375,50.390625
utah,UT,100,32.25806451612903,33.87096774193548
virginia,VA,43,16.92913385826772,51.574803149606296
vermont,VT,7,14.583333333333334,79.16666666666666
washington,WA,65,14.380530973451327,52.43362831858407
wisconsin,WI,39,14.130434782608695,46.73913043478261
west virginia,WV,14,12.068965517241379,57.758620689655174
wyoming,WY,17,29.82456140350877,77.19298245614034
