region,state,n,lgbtq_total,govt_total,lgbtq_perc,govt_fund,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alaska,AK,89,9,65,10.112359550561797,73.03370786516854,0,0,0
alabama,AL,129,23,79,17.829457364341085,61.240310077519375,0.03846153846153846,0.8846153846153845,0.6857483601669647
arkansas,AR,118,12,71,10.16949152542373,60.16949152542372,0.02941176470588235,0.3529411764705882,0.2991026919242273
arizona,AZ,341,72,141,21.114369501466275,41.348973607038126,0.14960629921259844,10.771653543307087,3.1588426813217265
california,CA,1311,355,683,27.078565980167813,52.0976353928299,0.15120274914089346,53.676975945017176,4.094353618994445
colorado,CO,381,82,193,21.522309711286088,50.65616797900262,0.15841584158415842,12.990099009900991,3.4094748057482915
connecticut,CT,210,46,152,21.904761904761905,72.38095238095238,0.06779661016949153,3.1186440677966103,1.4850686037126715
delaware,DE,34,5,16,14.705882352941178,47.05882352941176,0.08333333333333333,0.41666666666666663,1.2254901960784312
florida,FL,668,150,278,22.45508982035928,41.61676646706587,0.12206572769953052,18.309859154929576,2.740996879480475
georgia,GA,292,64,102,21.91780821917808,34.93150684931507,0.10112359550561796,6.4719101123595495,2.216407572725873
hawaii,HI,168,19,147,11.30952380952381,87.5,0,0,0
iowa,IA,163,14,107,8.588957055214724,65.6441717791411,0.125,1.75,1.0736196319018405
idaho,ID,124,27,58,21.774193548387096,46.774193548387096,0.08,2.16,1.741935483870968
illinois,IL,633,98,313,15.481832543443918,49.447077409162716,0.11347517730496454,11.120567375886525,1.7568036928730688
indiana,IN,305,34,187,11.147540983606557,61.31147540983607,0.04918032786885246,1.6721311475409837,0.5482397205052405
kansas,KS,182,30,104,16.483516483516482,57.14285714285714,0.14285714285714285,4.285714285714286,2.3547880690737832
kentucky,KY,359,53,152,14.763231197771587,42.33983286908078,0.07692307692307693,4.0769230769230775,1.135633169059353
louisiana,LA,136,19,75,13.970588235294118,55.14705882352941,0,0,0
massachusetts,MA,351,91,231,25.925925925925924,65.8119658119658,0.13333333333333333,12.133333333333333,3.45679012345679
maryland,MD,387,87,142,22.48062015503876,36.69250645994832,0.109375,9.515625,2.4588178294573644
maine,ME,199,32,81,16.08040201005025,40.7035175879397,0.2647058823529412,8.470588235294118,4.25657700266036
michigan,MI,456,76,254,16.666666666666664,55.70175438596491,0.16822429906542055,12.785046728971961,2.8037383177570088
minnesota,MN,356,53,161,14.887640449438203,45.2247191011236,0.13580246913580246,7.197530864197531,2.0217783326397556
missouri,MO,257,24,203,9.33852140077821,78.98832684824903,0.05714285714285714,1.3714285714285714,0.5336297943301834
mississippi,MS,89,16,60,17.97752808988764,67.41573033707866,0.13636363636363635,2.1818181818181817,2.4514811031664965
montana,MT,70,8,50,11.428571428571429,71.42857142857143,0.04545454545454545,0.3636363636363636,0.5194805194805194
north carolina,NC,472,101,191,21.398305084745765,40.46610169491525,0.06486486486486487,6.551351351351352,1.3879981676591848
north dakota,ND,71,7,26,9.859154929577464,36.61971830985916,0.25,1.75,2.464788732394366
nebraska,NE,125,15,88,12,70.39999999999999,0.3684210526315789,5.526315789473684,4.421052631578947
new hampshire,NH,67,3,29,4.477611940298507,43.28358208955223,0,0,0
new jersey,NJ,344,96,180,27.906976744186046,52.32558139534884,0.09923664122137404,9.526717557251908,2.76939463873602
new mexico,NM,136,39,91,28.676470588235293,66.91176470588235,0.13793103448275862,5.379310344827586,3.9553752535496955
nevada,NV,77,28,44,36.36363636363637,57.14285714285714,0.1590909090909091,4.454545454545454,5.785123966942148
new york,NY,842,156,433,18.52731591448931,51.42517814726841,0.1391304347826087,21.704347826086956,2.577713518537643
ohio,OH,409,40,278,9.7799511002445,67.97066014669927,0.12280701754385964,4.912280701754385,1.2010466263458155
oklahoma,OK,191,46,118,24.083769633507853,61.78010471204188,0.12727272727272726,5.854545454545454,3.0652070442646355
oregon,OR,226,45,127,19.911504424778762,56.19469026548673,0.0784313725490196,3.5294117647058822,1.5616866215512752
pennsylvania,PA,502,98,261,19.52191235059761,51.992031872509955,0.22556390977443608,22.105263157894736,4.403438876074649
rhode island,RI,48,8,20,16.666666666666664,41.66666666666667,0.14285714285714285,1.1428571428571428,2.380952380952381
south carolina,SC,108,7,61,6.481481481481481,56.481481481481474,0.07142857142857142,0.5,0.4629629629629629
south dakota,SD,58,11,48,18.96551724137931,82.75862068965517,0.1111111111111111,1.222222222222222,2.1072796934865896
tennessee,TN,217,24,136,11.059907834101383,62.67281105990783,0.05,1.2000000000000002,0.5529953917050692
texas,TX,431,86,230,19.953596287703014,53.36426914153132,0.096,8.256,1.9155452436194895
utah,UT,239,56,86,23.430962343096233,35.98326359832636,0.1282051282051282,7.179487179487179,3.0039695311661836
virginia,VA,223,25,124,11.210762331838566,55.60538116591929,0.08163265306122448,2.0408163265306123,0.9151642719868217
vermont,VT,42,4,35,9.523809523809524,83.33333333333334,0.3333333333333333,1.3333333333333333,3.1746031746031744
washington,WA,396,39,195,9.848484848484848,49.24242424242424,0.11594202898550723,4.521739130434782,1.1418533157663593
wisconsin,WI,273,44,140,16.117216117216117,51.28205128205128,0.04761904761904761,2.095238095238095,0.7674864817721959
west virginia,WV,102,20,64,19.607843137254903,62.745098039215684,0,0,0
wyoming,WY,47,11,36,23.404255319148938,76.59574468085107,0.0588235294117647,0.6470588235294117,1.3767209011264079
