region,state,lgbtq_total,lgbtq_perc,govt_fund
alaska,AK,8,8.60215053763441,70.96774193548387
alabama,AL,14,9.090909090909092,56.493506493506494
arkansas,AR,9,10.112359550561797,70.78651685393258
arizona,AZ,43,13.738019169329075,48.242811501597444
california,CA,333,21.470019342359766,57.96260477111541
colorado,CO,83,17.008196721311474,46.92622950819672
connecticut,CT,34,16.037735849056602,72.64150943396226
delaware,DE,7,16.666666666666664,64.28571428571429
florida,FL,84,13.504823151125404,48.07073954983923
georgia,GA,49,13.61111111111111,34.72222222222222
hawaii,HI,5,4.0650406504065035,86.1788617886179
iowa,IA,9,6.25,63.19444444444444
idaho,ID,10,8.547008547008547,59.82905982905983
illinois,IL,59,9.076923076923077,51.07692307692307
indiana,IN,20,7.2727272727272725,61.09090909090909
kansas,KS,16,7.6190476190476195,57.14285714285714
kentucky,KY,26,7.926829268292683,47.86585365853659
louisiana,LA,19,11.44578313253012,62.048192771084345
massachusetts,MA,62,19.62025316455696,68.9873417721519
maryland,MD,46,12.777777777777777,46.38888888888889
maine,ME,20,9.00900900900901,32.432432432432435
michigan,MI,47,9.611451942740286,56.646216768916155
minnesota,MN,35,9.887005649717514,50.282485875706215
missouri,MO,13,5.038759689922481,77.90697674418605
mississippi,MS,15,14.85148514851485,70.29702970297029
montana,MT,3,4.166666666666666,77.77777777777779
north carolina,NC,48,11.085450346420323,41.339491916859124
north dakota,ND,7,10.76923076923077,33.84615384615385
nebraska,NE,6,5.263157894736842,78.94736842105263
new hampshire,NH,2,3.6363636363636362,65.45454545454545
new jersey,NJ,56,15.053763440860216,57.52688172043011
new mexico,NM,24,17.26618705035971,78.41726618705036
nevada,NV,11,13.580246913580247,59.25925925925925
new york,NY,106,11.712707182320441,56.68508287292817
ohio,OH,24,6.349206349206349,72.4867724867725
oklahoma,OK,28,12.556053811659194,56.95067264573991
oregon,OR,33,13.414634146341465,61.382113821138205
pennsylvania,PA,62,11.50278293135436,51.20593692022264
rhode island,RI,9,14.516129032258066,69.35483870967742
south carolina,SC,8,7.207207207207207,54.054054054054056
south dakota,SD,3,4.761904761904762,74.60317460317461
tennessee,TN,14,6.334841628959276,70.13574660633483
texas,TX,49,10.629067245119305,54.880694143167034
utah,UT,33,19.298245614035086,49.122807017543856
virginia,VA,19,8.4070796460177,60.61946902654868
vermont,VT,1,2.272727272727273,79.54545454545455
washington,WA,36,7.982261640798225,55.87583148558758
wisconsin,WI,31,9.748427672955975,52.20125786163522
west virginia,WV,11,10.891089108910892,72.27722772277228
wyoming,WY,3,5.660377358490567,84.90566037735849
