region,state,n,lgbtq_total,govt_total,lgbtq_perc,govt_fund,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alaska,AK,91,9,70,9.89010989010989,76.92307692307693,0,0,0
alabama,AL,132,21,97,15.909090909090908,73.48484848484848,0.038461538461538464,0.8076923076923077,0.6118881118881119
arkansas,AR,144,22,92,15.277777777777779,63.888888888888886,0.029411764705882353,0.6470588235294118,0.44934640522875824
arizona,AZ,407,101,182,24.815724815724817,44.717444717444714,0.14960629921259844,15.110236220472443,3.7125887519588314
california,CA,1502,404,758,26.897470039946736,50.466045272969374,0.15120274914089346,61.08591065292096,4.0669714149747644
colorado,CO,404,102,196,25.247524752475247,48.51485148514851,0.15841584158415842,16.15841584158416,3.9996078815802374
connecticut,CT,220,55,155,25,70.45454545454545,0.06779661016949153,3.7288135593220337,1.694915254237288
delaware,DE,40,10,19,25,47.5,0.08333333333333333,0.8333333333333333,2.083333333333333
florida,FL,726,189,292,26.033057851239672,40.22038567493113,0.12206572769953052,23.070422535211268,3.1777441508555464
georgia,GA,332,73,118,21.987951807228914,35.54216867469879,0.10112359550561797,7.382022471910112,2.2235007445512385
hawaii,HI,168,21,144,12.5,85.71428571428571,0,0,0
iowa,IA,167,19,110,11.377245508982035,65.86826347305389,0.125,2.375,1.4221556886227544
idaho,ID,133,30,75,22.55639097744361,56.390977443609025,0.08,2.4,1.8045112781954884
illinois,IL,679,107,346,15.758468335787922,50.95729013254786,0.11347517730496454,12.141843971631205,1.788194988458204
indiana,IN,368,41,204,11.141304347826086,55.434782608695656,0.04918032786885246,2.0163934426229506,0.5479330007127583
kansas,KS,179,32,110,17.877094972067038,61.452513966480446,0.14285714285714285,4.571428571428571,2.553870710295291
kentucky,KY,418,60,166,14.354066985645932,39.71291866028708,0.07692307692307693,4.615384615384616,1.1041589988958411
louisiana,LA,145,27,79,18.620689655172416,54.48275862068965,0,0,0
massachusetts,MA,414,107,245,25.845410628019323,59.17874396135265,0.13333333333333333,14.266666666666666,3.446054750402576
maryland,MD,413,100,126,24.213075060532688,30.508474576271187,0.109375,10.9375,2.6483050847457625
maine,ME,181,41,84,22.65193370165746,46.408839779005525,0.2647058823529412,10.852941176470589,5.996100097497563
michigan,MI,465,79,260,16.989247311827956,55.91397849462365,0.16822429906542055,13.289719626168223,2.8580042206813383
minnesota,MN,378,53,170,14.02116402116402,44.97354497354497,0.13580246913580246,7.197530864197531,1.9041086942321512
missouri,MO,273,28,210,10.256410256410255,76.92307692307693,0.05714285714285714,1.5999999999999999,0.586080586080586
mississippi,MS,98,20,59,20.408163265306122,60.204081632653065,0.13636363636363635,2.727272727272727,2.782931354359926
montana,MT,72,9,51,12.5,70.83333333333334,0.045454545454545456,0.4090909090909091,0.5681818181818182
north carolina,NC,513,111,219,21.637426900584796,42.69005847953216,0.06486486486486487,7.2,1.4035087719298245
north dakota,ND,78,10,31,12.82051282051282,39.743589743589745,0.25,2.5,3.205128205128205
nebraska,NE,124,21,86,16.93548387096774,69.35483870967742,0.3684210526315789,7.7368421052631575,6.239388794567063
new hampshire,NH,72,16,30,22.22222222222222,41.66666666666667,0,0,0
new jersey,NJ,369,112,181,30.35230352303523,49.05149051490515,0.09923664122137404,11.114503816793892,3.0120606549576943
new mexico,NM,140,45,90,32.142857142857146,64.28571428571429,0.13793103448275862,6.206896551724138,4.433497536945813
nevada,NV,81,27,46,33.33333333333333,56.79012345679012,0.1590909090909091,4.295454545454545,5.303030303030303
new york,NY,898,169,482,18.819599109131403,53.67483296213808,0.1391304347826087,23.51304347826087,2.618379006487847
ohio,OH,464,55,315,11.85344827586207,67.88793103448276,0.12280701754385964,6.75438596491228,1.455686630369026
oklahoma,OK,200,49,128,24.5,64,0.12727272727272726,6.2363636363636354,3.1181818181818177
oregon,OR,229,54,139,23.580786026200872,60.698689956331876,0.0784313725490196,4.235294117647059,1.8494734138196764
pennsylvania,PA,578,102,297,17.647058823529413,51.384083044982695,0.22556390977443608,23.00751879699248,3.9805395842547537
rhode island,RI,56,5,28,8.928571428571429,50,0.14285714285714285,0.7142857142857142,1.2755102040816324
south carolina,SC,114,8,70,7.017543859649122,61.40350877192983,0.07142857142857142,0.5714285714285714,0.5012531328320802
south dakota,SD,59,6,50,10.16949152542373,84.7457627118644,0.1111111111111111,0.6666666666666666,1.1299435028248588
tennessee,TN,221,23,141,10.407239819004525,63.80090497737556,0.05,1.1500000000000001,0.5203619909502263
texas,TX,502,97,260,19.322709163346612,51.79282868525896,0.096,9.312,1.854980079681275
utah,UT,269,76,91,28.25278810408922,33.82899628252788,0.1282051282051282,9.743589743589743,3.622152321037079
virginia,VA,231,36,126,15.584415584415584,54.54545454545454,0.08163265306122448,2.9387755102040813,1.2721971905645373
vermont,VT,46,6,38,13.043478260869565,82.6086956521739,0.3333333333333333,2,4.3478260869565215
washington,WA,445,53,232,11.910112359550562,52.13483146067416,0.11594202898550725,6.144927536231884,1.3808825924116592
wisconsin,WI,268,40,130,14.925373134328357,48.507462686567166,0.047619047619047616,1.9047619047619047,0.7107320540156361
west virginia,WV,108,16,65,14.814814814814813,60.18518518518518,0,0,0
wyoming,WY,53,8,41,15.09433962264151,77.35849056603774,0.058823529411764705,0.47058823529411764,0.8879023307436182
