region,state,n,lgbtq_total,govt_total,lgbtq_perc,govt_fund,perc_confirmed,lgbtq_actual,lgbtq_perc_actual
alaska,AK,77,2,64,2.5974025974025974,83.11688311688312,0,0,0
alabama,AL,138,4,88,2.898550724637681,63.76811594202898,0.038461538461538464,0.15384615384615385,0.11148272017837235
arkansas,AR,62,5,47,8.064516129032258,75.80645161290323,0.029411764705882353,0.14705882352941177,0.23719165085388993
arizona,AZ,214,8,92,3.7383177570093453,42.99065420560748,0.14960629921259844,1.1968503937007875,0.55927588490691
california,CA,1626,167,982,10.27060270602706,60.39360393603936,0.15120274914089346,25.25085910652921,1.552943364485191
colorado,CO,437,44,221,10.068649885583524,50.57208237986271,0.15841584158415842,6.97029702970297,1.5950336452409544
connecticut,CT,195,4,139,2.051282051282051,71.28205128205128,0.06779661016949153,0.2711864406779661,0.13906996957844417
delaware,DE,37,2,25,5.405405405405405,67.56756756756756,0.08333333333333333,0.16666666666666666,0.45045045045045046
florida,FL,593,39,307,6.57672849915683,51.77065767284992,0.12206572769953052,4.76056338028169,0.8027931501318195
georgia,GA,243,6,114,2.4691358024691357,46.913580246913575,0.10112359550561797,0.6067415730337078,0.2496878901373283
hawaii,HI,119,3,104,2.5210084033613445,87.39495798319328,0,0,0
iowa,IA,125,1,95,0.8,76,0.125,0.125,0.1
idaho,ID,93,3,63,3.225806451612903,67.74193548387096,0.08,0.24,0.25806451612903225
illinois,IL,606,40,327,6.6006600660066,53.960396039603964,0.11347517730496454,4.539007092198581,0.7490110713198979
indiana,IN,273,10,172,3.6630036630036633,63.003663003663,0.04918032786885246,0.4918032786885246,0.18014772113132768
kansas,KS,211,11,118,5.213270142180095,55.92417061611374,0.14285714285714285,1.5714285714285714,0.7447528774542992
kentucky,KY,293,11,152,3.754266211604096,51.877133105802045,0.07692307692307693,0.8461538461538463,0.28878970858493047
louisiana,LA,154,5,114,3.2467532467532463,74.02597402597402,0,0,0
massachusetts,MA,307,17,187,5.537459283387622,60.91205211726385,0.13333333333333333,2.2666666666666666,0.738327904451683
maryland,MD,339,16,180,4.71976401179941,53.09734513274337,0.109375,1.75,0.5162241887905604
maine,ME,179,7,64,3.910614525139665,35.754189944134076,0.2647058823529412,1.8529411764705883,1.0351626684193231
michigan,MI,475,25,278,5.263157894736842,58.526315789473685,0.16822429906542055,4.205607476635514,0.8853910477127398
minnesota,MN,308,22,160,7.142857142857142,51.94805194805194,0.13580246913580246,2.9876543209876543,0.9700176366843033
missouri,MO,264,6,213,2.272727272727273,80.68181818181817,0.05714285714285714,0.34285714285714286,0.12987012987012986
mississippi,MS,102,NA,77,NA,75.49019607843137,0.13636363636363635,NA,NA
montana,MT,53,2,44,3.7735849056603774,83.01886792452831,0.045454545454545456,0.09090909090909091,0.17152658662092624
north carolina,NC,400,22,193,5.5,48.25,0.06486486486486487,1.427027027027027,0.3567567567567568
north dakota,ND,57,2,23,3.508771929824561,40.35087719298245,0.25,0.5,0.8771929824561403
nebraska,NE,115,3,94,2.608695652173913,81.73913043478261,0.3684210526315789,1.1052631578947367,0.9610983981693362
new hampshire,NH,52,2,33,3.8461538461538463,63.46153846153846,0,0,0
new jersey,NJ,335,25,202,7.462686567164178,60.298507462686565,0.09923664122137404,2.480916030534351,0.7405719494132392
new mexico,NM,141,14,110,9.929078014184398,78.01418439716312,0.13793103448275862,1.9310344827586206,1.3695280019564686
nevada,NV,84,5,51,5.952380952380952,60.71428571428571,0.1590909090909091,0.7954545454545454,0.946969696969697
new york,NY,1000,77,582,7.7,58.199999999999996,0.1391304347826087,10.71304347826087,1.071304347826087
ohio,OH,373,4,268,1.0723860589812333,71.84986595174263,0.12280701754385964,0.49122807017543857,0.13169653355909883
oklahoma,OK,191,7,119,3.664921465968586,62.30366492146597,0.12727272727272726,0.8909090909090909,0.46644455021418374
oregon,OR,224,20,139,8.928571428571429,62.05357142857143,0.0784313725490196,1.5686274509803921,0.700280112044818
pennsylvania,PA,533,35,322,6.566604127579738,60.41275797373359,0.22556390977443608,7.894736842105263,1.4811889009578354
rhode island,RI,53,4,36,7.547169811320755,67.9245283018868,0.14285714285714285,0.5714285714285714,1.0781671159029649
south carolina,SC,103,4,58,3.8834951456310676,56.310679611650485,0.07142857142857142,0.2857142857142857,0.27739251040221913
south dakota,SD,55,1,43,1.8181818181818181,78.18181818181819,0.1111111111111111,0.1111111111111111,0.20202020202020202
tennessee,TN,202,5,140,2.4752475247524752,69.3069306930693,0.05,0.25,0.12376237623762376
texas,TX,454,20,253,4.405286343612335,55.72687224669603,0.096,1.92,0.4229074889867841
utah,UT,146,14,65,9.58904109589041,44.52054794520548,0.1282051282051282,1.7948717948717947,1.229364243062873
virginia,VA,208,7,131,3.3653846153846154,62.980769230769226,0.08163265306122448,0.5714285714285714,0.2747252747252747
vermont,VT,42,4,29,9.523809523809524,69.04761904761905,0.3333333333333333,1.3333333333333333,3.1746031746031744
washington,WA,455,17,247,3.7362637362637363,54.285714285714285,0.11594202898550725,1.9710144927536233,0.4331899984073897
wisconsin,WI,250,18,138,7.199999999999999,55.2,0.047619047619047616,0.8571428571428571,0.34285714285714286
west virginia,WV,82,4,59,4.878048780487805,71.95121951219512,0,0,0
wyoming,WY,60,3,52,5,86.66666666666667,0.058823529411764705,0.1764705882352941,0.2941176470588235
