region,state,overall_policy_total,year
alabama,AL,4.597701149425287,2012
alaska,AK,6.896551724137931,2012
arizona,AZ,22.988505747126435,2012
arkansas,AR,20.689655172413794,2012
california,CA,80.45977011494253,2012
colorado,CO,62.06896551724138,2012
connecticut,CT,80.45977011494253,2012
delaware,DE,62.06896551724138,2012
district of columbia,NA,75.86206896551724,2012
florida,FL,13.793103448275861,2012
georgia,GA,13.793103448275861,2012
hawaii,HI,68.96551724137932,2012
idaho,ID,6.896551724137931,2012
illinois,IL,68.96551724137932,2012
indiana,IN,27.586206896551722,2012
iowa,IA,71.26436781609196,2012
kansas,KS,11.494252873563218,2012
kentucky,KY,22.988505747126435,2012
louisiana,LA,16.091954022988507,2012
maine,ME,62.06896551724138,2012
maryland,MD,48.275862068965516,2012
massachusetts,MA,73.5632183908046,2012
michigan,MI,11.494252873563218,2012
minnesota,MN,39.08045977011494,2012
mississippi,MS,4.597701149425287,2012
missouri,MO,13.793103448275861,2012
montana,MT,11.494252873563218,2012
nebraska,NE,13.793103448275861,2012
nevada,NV,66.66666666666666,2012
new hampshire,NH,71.26436781609196,2012
new jersey,NJ,82.75862068965517,2012
new mexico,NM,52.87356321839081,2012
new york,NY,71.26436781609196,2012
north carolina,NC,16.091954022988507,2012
north dakota,ND,9.195402298850574,2012
ohio,OH,2.2988505747126435,2012
oklahoma,OK,4.597701149425287,2012
oregon,OR,78.16091954022988,2012
pennsylvania,PA,20.689655172413794,2012
rhode island,RI,66.66666666666666,2012
south carolina,SC,9.195402298850574,2012
south dakota,SD,9.195402298850574,2012
tennessee,TN,11.494252873563218,2012
texas,TX,20.689655172413794,2012
utah,UT,0,2012
vermont,VT,71.26436781609196,2012
virginia,VA,13.793103448275861,2012
washington,WA,80.45977011494253,2012
west virginia,WV,9.195402298850574,2012
wisconsin,WI,45.97701149425287,2012
wyoming,WY,9.195402298850574,2012
