region,state,overall_policy_total,year
alabama,AL,0,2017
alaska,AK,17.073170731707318,2017
arizona,AZ,13.414634146341465,2017
arkansas,AR,7.317073170731707,2017
california,CA,84.14634146341463,2017
colorado,CO,62.19512195121951,2017
connecticut,CT,73.17073170731707,2017
delaware,DE,50,2017
district of columbia,NA,87.8048780487805,2017
florida,FL,18.29268292682927,2017
georgia,GA,2.4390243902439024,2017
hawaii,HI,53.65853658536586,2017
idaho,ID,9.75609756097561,2017
illinois,IL,68.29268292682927,2017
indiana,IN,20.73170731707317,2017
iowa,IA,37.80487804878049,2017
kansas,KS,15.24390243902439,2017
kentucky,KY,20.73170731707317,2017
louisiana,LA,7.317073170731707,2017
maine,ME,53.65853658536586,2017
maryland,MD,62.19512195121951,2017
massachusetts,MA,70.73170731707317,2017
michigan,MI,14.634146341463413,2017
minnesota,MN,59.756097560975604,2017
mississippi,MS,4.878048780487805,2017
missouri,MO,14.634146341463413,2017
montana,MT,12.195121951219512,2017
nebraska,NE,4.878048780487805,2017
nevada,NV,59.756097560975604,2017
new hampshire,NH,28.04878048780488,2017
new jersey,NJ,71.95121951219512,2017
new mexico,NM,48.78048780487805,2017
new york,NY,68.29268292682927,2017
north carolina,NC,16.463414634146343,2017
north dakota,ND,7.317073170731707,2017
ohio,OH,12.195121951219512,2017
oklahoma,OK,7.317073170731707,2017
oregon,OR,75.60975609756098,2017
pennsylvania,PA,32.926829268292686,2017
rhode island,RI,78.04878048780488,2017
south carolina,SC,6.097560975609756,2017
south dakota,SD,3.6585365853658534,2017
tennessee,TN,1.2195121951219512,2017
texas,TX,14.634146341463413,2017
utah,UT,29.878048780487802,2017
vermont,VT,71.95121951219512,2017
virginia,VA,12.195121951219512,2017
washington,WA,71.95121951219512,2017
west virginia,WV,10.975609756097562,2017
wisconsin,WI,26.82926829268293,2017
wyoming,WY,6.097560975609756,2017
