region,state,overall_policy_total,year
alabama,AL,0,2014
alaska,AK,2.2988505747126435,2014
arizona,AZ,20.689655172413794,2014
arkansas,AR,20.689655172413794,2014
california,CA,98.85057471264368,2014
colorado,CO,89.65517241379311,2014
connecticut,CT,89.65517241379311,2014
delaware,DE,85.0574712643678,2014
district of columbia,NA,96.55172413793103,2014
florida,FL,9.195402298850574,2014
georgia,GA,9.195402298850574,2014
hawaii,HI,73.5632183908046,2014
idaho,ID,11.494252873563218,2014
illinois,IL,80.45977011494253,2014
indiana,IN,48.275862068965516,2014
iowa,IA,73.5632183908046,2014
kansas,KS,9.195402298850574,2014
kentucky,KY,18.39080459770115,2014
louisiana,LA,9.195402298850574,2014
maine,ME,94.25287356321839,2014
maryland,MD,73.5632183908046,2014
massachusetts,MA,82.75862068965517,2014
michigan,MI,4.597701149425287,2014
minnesota,MN,71.26436781609196,2014
mississippi,MS,4.597701149425287,2014
missouri,MO,13.793103448275861,2014
montana,MT,11.494252873563218,2014
nebraska,NE,13.793103448275861,2014
nevada,NV,71.26436781609196,2014
new hampshire,NH,68.96551724137932,2014
new jersey,NJ,91.95402298850574,2014
new mexico,NM,73.5632183908046,2014
new york,NY,66.66666666666666,2014
north carolina,NC,16.091954022988507,2014
north dakota,ND,4.597701149425287,2014
ohio,OH,2.2988505747126435,2014
oklahoma,OK,29.88505747126437,2014
oregon,OR,98.85057471264368,2014
pennsylvania,PA,48.275862068965516,2014
rhode island,RI,80.45977011494253,2014
south carolina,SC,4.597701149425287,2014
south dakota,SD,4.597701149425287,2014
tennessee,TN,4.597701149425287,2014
texas,TX,16.091954022988507,2014
utah,UT,16.091954022988507,2014
vermont,VT,89.65517241379311,2014
virginia,VA,39.08045977011494,2014
washington,WA,89.65517241379311,2014
west virginia,WV,9.195402298850574,2014
wisconsin,WI,73.5632183908046,2014
wyoming,WY,6.896551724137931,2014
