region,state,overall_policy_total,year
alabama,AL,0,2020
alaska,AK,23.88888888888889,2020
american samoa,NA,15.555555555555555,2020
arizona,AZ,26.111111111111114,2020
arkansas,AR,13.333333333333334,2020
california,CA,91.66666666666666,2020
colorado,CO,88.33333333333333,2020
connecticut,CT,91.11111111111111,2020
delaware,DE,70.55555555555556,2020
district of columbia,NA,86.66666666666667,2020
florida,FL,31.666666666666664,2020
georgia,GA,14.444444444444443,2020
guam,NA,27.22222222222222,2020
hawaii,HI,80.55555555555556,2020
idaho,ID,20.555555555555554,2020
illinois,IL,81.11111111111111,2020
indiana,IN,31.11111111111111,2020
iowa,IA,52.22222222222223,2020
kansas,KS,29.444444444444446,2020
kentucky,KY,31.666666666666664,2020
louisiana,LA,8.88888888888889,2020
maine,ME,92.22222222222223,2020
maryland,MD,73.88888888888889,2020
massachusetts,MA,86.66666666666667,2020
michigan,MI,44.44444444444444,2020
minnesota,MN,81.11111111111111,2020
mississippi,MS,6.666666666666667,2020
missouri,MO,17.22222222222222,2020
montana,MT,34.44444444444444,2020
nebraska,NE,20,2020
nevada,NV,91.11111111111111,2020
new hampshire,NH,70.55555555555556,2020
new jersey,NJ,81.11111111111111,2020
new mexico,NM,73.33333333333333,2020
new york,NY,91.66666666666666,2020
north carolina,NC,20.555555555555554,2020
north dakota,ND,11.11111111111111,2020
northern mariana islands,NA,20,2020
ohio,OH,20.555555555555554,2020
oklahoma,OK,12.222222222222221,2020
oregon,OR,84.44444444444444,2020
pennsylvania,PA,50,2020
puerto rico,NA,58.88888888888889,2020
rhode island,RI,87.22222222222223,2020
south carolina,SC,13.333333333333334,2020
south dakota,SD,8.88888888888889,2020
tennessee,TN,5.555555555555555,2020
texas,TX,11.11111111111111,2020
u.s. virgin islands,NA,24.444444444444443,2020
utah,UT,45,2020
vermont,VT,90,2020
virginia,VA,56.111111111111114,2020
washington,WA,90.55555555555556,2020
west virginia,WV,26.666666666666668,2020
wisconsin,WI,48.888888888888886,2020
wyoming,WY,18.333333333333332,2020
