region,state,overall_policy_total,year
alabama,AL,0,2016
alaska,AK,12.987012987012985,2016
arizona,AZ,8.441558441558442,2016
arkansas,AR,6.493506493506493,2016
california,CA,78.57142857142857,2016
colorado,CO,59.09090909090909,2016
connecticut,CT,62.33766233766234,2016
delaware,DE,41.55844155844156,2016
district of columbia,NA,74.02597402597402,2016
florida,FL,17.532467532467532,2016
georgia,GA,1.2987012987012987,2016
hawaii,HI,40.25974025974026,2016
idaho,ID,9.740259740259742,2016
illinois,IL,57.7922077922078,2016
indiana,IN,14.935064935064934,2016
iowa,IA,33.76623376623377,2016
kansas,KS,11.688311688311687,2016
kentucky,KY,11.688311688311687,2016
louisiana,LA,2.5974025974025974,2016
maine,ME,54.54545454545454,2016
maryland,MD,57.14285714285714,2016
massachusetts,MA,67.53246753246754,2016
michigan,MI,7.792207792207792,2016
minnesota,MN,56.493506493506494,2016
mississippi,MS,3.896103896103896,2016
missouri,MO,3.896103896103896,2016
montana,MT,7.792207792207792,2016
nebraska,NE,5.844155844155844,2016
nevada,NV,46.103896103896105,2016
new hampshire,NH,25.97402597402597,2016
new jersey,NJ,63.63636363636363,2016
new mexico,NM,40.25974025974026,2016
new york,NY,62.98701298701299,2016
north carolina,NC,7.792207792207792,2016
north dakota,ND,3.896103896103896,2016
ohio,OH,11.03896103896104,2016
oklahoma,OK,3.896103896103896,2016
oregon,OR,72.72727272727273,2016
pennsylvania,PA,18.181818181818183,2016
rhode island,RI,70.12987012987013,2016
south carolina,SC,3.896103896103896,2016
south dakota,SD,6.493506493506493,2016
tennessee,TN,1.2987012987012987,2016
texas,TX,10.38961038961039,2016
utah,UT,20.77922077922078,2016
vermont,VT,73.37662337662337,2016
virginia,VA,6.493506493506493,2016
washington,WA,68.83116883116884,2016
west virginia,WV,11.688311688311687,2016
wisconsin,WI,27.92207792207792,2016
wyoming,WY,6.493506493506493,2016
