region,state,overall_policy_total,year
alabama,AL,6.451612903225806,2013
alaska,AK,8.60215053763441,2013
arizona,AZ,25.806451612903224,2013
arkansas,AR,25.806451612903224,2013
california,CA,98.9247311827957,2013
colorado,CO,88.17204301075269,2013
connecticut,CT,90.32258064516128,2013
delaware,DE,86.02150537634408,2013
district of columbia,NA,96.7741935483871,2013
florida,FL,15.053763440860216,2013
georgia,GA,15.053763440860216,2013
hawaii,HI,75.26881720430107,2013
idaho,ID,17.20430107526882,2013
illinois,IL,79.56989247311827,2013
indiana,IN,27.956989247311824,2013
iowa,IA,75.26881720430107,2013
kansas,KS,15.053763440860216,2013
kentucky,KY,23.655913978494624,2013
louisiana,LA,15.053763440860216,2013
maine,ME,88.17204301075269,2013
maryland,MD,68.81720430107528,2013
massachusetts,MA,83.87096774193549,2013
michigan,MI,10.75268817204301,2013
minnesota,MN,73.11827956989248,2013
mississippi,MS,10.75268817204301,2013
missouri,MO,15.053763440860216,2013
montana,MT,17.20430107526882,2013
nebraska,NE,19.35483870967742,2013
nevada,NV,70.96774193548387,2013
new hampshire,NH,70.96774193548387,2013
new jersey,NJ,92.47311827956989,2013
new mexico,NM,75.26881720430107,2013
new york,NY,68.81720430107528,2013
north carolina,NC,21.50537634408602,2013
north dakota,ND,10.75268817204301,2013
ohio,OH,8.60215053763441,2013
oklahoma,OK,6.451612903225806,2013
oregon,OR,96.7741935483871,2013
pennsylvania,PA,25.806451612903224,2013
rhode island,RI,81.72043010752688,2013
south carolina,SC,10.75268817204301,2013
south dakota,SD,10.75268817204301,2013
tennessee,TN,10.75268817204301,2013
texas,TX,21.50537634408602,2013
utah,UT,0,2013
vermont,VT,83.87096774193549,2013
virginia,VA,15.053763440860216,2013
washington,WA,90.32258064516128,2013
west virginia,WV,15.053763440860216,2013
wisconsin,WI,53.76344086021505,2013
wyoming,WY,12.903225806451612,2013
