region,state,overall_policy_total,year
alabama,AL,9.63855421686747,2011
alaska,AK,12.048192771084338,2011
arizona,AZ,14.457831325301203,2011
arkansas,AR,19.27710843373494,2011
california,CA,60.24096385542169,2011
colorado,CO,50.602409638554214,2011
connecticut,CT,62.65060240963856,2011
delaware,DE,45.78313253012048,2011
district of columbia,NA,62.65060240963856,2011
florida,FL,16.867469879518072,2011
georgia,GA,12.048192771084338,2011
hawaii,HI,53.01204819277109,2011
idaho,ID,2.4096385542168677,2011
illinois,IL,57.831325301204814,2011
indiana,IN,21.686746987951807,2011
iowa,IA,60.24096385542169,2011
kansas,KS,16.867469879518072,2011
kentucky,KY,14.457831325301203,2011
louisiana,LA,14.457831325301203,2011
maine,ME,53.01204819277109,2011
maryland,MD,40.963855421686745,2011
massachusetts,MA,53.01204819277109,2011
michigan,MI,9.63855421686747,2011
minnesota,MN,40.963855421686745,2011
mississippi,MS,7.228915662650602,2011
missouri,MO,19.27710843373494,2011
montana,MT,12.048192771084338,2011
nebraska,NE,14.457831325301203,2011
nevada,NV,50.602409638554214,2011
new hampshire,NH,55.42168674698795,2011
new jersey,NJ,62.65060240963856,2011
new mexico,NM,40.963855421686745,2011
new york,NY,55.42168674698795,2011
north carolina,NC,14.457831325301203,2011
north dakota,ND,12.048192771084338,2011
ohio,OH,0,2011
oklahoma,OK,9.63855421686747,2011
oregon,OR,60.24096385542169,2011
pennsylvania,PA,16.867469879518072,2011
rhode island,RI,53.01204819277109,2011
south carolina,SC,9.63855421686747,2011
south dakota,SD,12.048192771084338,2011
tennessee,TN,7.228915662650602,2011
texas,TX,14.457831325301203,2011
utah,UT,4.819277108433735,2011
vermont,VT,62.65060240963856,2011
virginia,VA,12.048192771084338,2011
washington,WA,60.24096385542169,2011
west virginia,WV,12.048192771084338,2011
wisconsin,WI,33.734939759036145,2011
wyoming,WY,12.048192771084338,2011
