region,state,overall_policy_total,year
alabama,AL,1.1494252873563218,2021
alaska,AK,43.103448275862064,2021
american samoa,NA,12.643678160919542,2021
arizona,AZ,23.563218390804597,2021
arkansas,AR,1.1494252873563218,2021
california,CA,91.37931034482759,2021
colorado,CO,90.80459770114942,2021
connecticut,CT,93.10344827586206,2021
delaware,DE,69.54022988505747,2021
district of columbia,NA,90.80459770114942,2021
florida,FL,32.758620689655174,2021
georgia,GA,11.494252873563218,2021
guam,NA,24.71264367816092,2021
hawaii,HI,80.45977011494253,2021
idaho,ID,15.517241379310345,2021
illinois,IL,80.45977011494253,2021
indiana,IN,26.436781609195403,2021
iowa,IA,50.57471264367817,2021
kansas,KS,27.011494252873565,2021
kentucky,KY,30.45977011494253,2021
louisiana,LA,5.747126436781609,2021
maine,ME,91.95402298850574,2021
maryland,MD,79.88505747126436,2021
massachusetts,MA,86.20689655172413,2021
michigan,MI,45.97701149425287,2021
minnesota,MN,80.45977011494253,2021
mississippi,MS,3.4482758620689653,2021
missouri,MO,14.367816091954023,2021
montana,MT,22.988505747126435,2021
nebraska,NE,20.689655172413794,2021
nevada,NV,93.10344827586206,2021
new hampshire,NH,71.83908045977012,2021
new jersey,NJ,86.20689655172413,2021
new mexico,NM,72.41379310344827,2021
new york,NY,91.37931034482759,2021
north carolina,NC,22.413793103448278,2021
north dakota,ND,38.50574712643678,2021
northern mariana islands,NA,17.24137931034483,2021
ohio,OH,22.413793103448278,2021
oklahoma,OK,9.195402298850574,2021
oregon,OR,88.50574712643679,2021
pennsylvania,PA,48.275862068965516,2021
puerto rico,NA,57.47126436781609,2021
rhode island,RI,88.50574712643679,2021
south carolina,SC,10.344827586206897,2021
south dakota,SD,1.1494252873563218,2021
tennessee,TN,0,2021
texas,TX,13.793103448275861,2021
u.s. virgin islands,NA,21.839080459770116,2021
utah,UT,43.103448275862064,2021
vermont,VT,94.25287356321839,2021
virginia,VA,62.06896551724138,2021
washington,WA,90.22988505747126,2021
west virginia,WV,21.839080459770116,2021
wisconsin,WI,50.57471264367817,2021
wyoming,WY,15.517241379310345,2021
