region,state,overall_policy_total,year
alabama,AL,0,2019
alaska,AK,15.24390243902439,2019
american samoa,NA,10.975609756097562,2019
arizona,AZ,17.682926829268293,2019
arkansas,AR,10.975609756097562,2019
california,CA,93.90243902439023,2019
colorado,CO,76.21951219512195,2019
connecticut,CT,79.8780487804878,2019
delaware,DE,59.756097560975604,2019
district of columbia,NA,92.6829268292683,2019
florida,FL,26.82926829268293,2019
georgia,GA,3.6585365853658534,2019
guam,NA,24.390243902439025,2019
hawaii,HI,76.21951219512195,2019
idaho,ID,12.804878048780488,2019
illinois,IL,73.78048780487805,2019
indiana,IN,26.82926829268293,2019
iowa,IA,42.68292682926829,2019
kansas,KS,15.853658536585366,2019
kentucky,KY,20.73170731707317,2019
louisiana,LA,6.707317073170732,2019
maine,ME,68.90243902439023,2019
maryland,MD,72.5609756097561,2019
massachusetts,MA,81.70731707317073,2019
michigan,MI,40.853658536585364,2019
minnesota,MN,70.1219512195122,2019
mississippi,MS,9.75609756097561,2019
missouri,MO,13.414634146341465,2019
montana,MT,25,2019
nebraska,NE,6.097560975609756,2019
nevada,NV,79.26829268292683,2019
new hampshire,NH,52.4390243902439,2019
new jersey,NJ,78.65853658536585,2019
new mexico,NM,63.41463414634146,2019
new york,NY,89.02439024390245,2019
north carolina,NC,18.29268292682927,2019
north dakota,ND,6.707317073170732,2019
northern mariana islands,NA,8.536585365853659,2019
ohio,OH,14.02439024390244,2019
oklahoma,OK,8.536585365853659,2019
oregon,OR,79.8780487804878,2019
pennsylvania,PA,45.1219512195122,2019
puerto rico,NA,57.92682926829268,2019
rhode island,RI,85.36585365853658,2019
south carolina,SC,8.536585365853659,2019
south dakota,SD,3.6585365853658534,2019
tennessee,TN,4.2682926829268295,2019
texas,TX,12.195121951219512,2019
u.s. virgin islands,NA,17.073170731707318,2019
utah,UT,33.53658536585366,2019
vermont,VT,84.14634146341463,2019
virginia,VA,12.804878048780488,2019
washington,WA,79.8780487804878,2019
west virginia,WV,12.195121951219512,2019
wisconsin,WI,36.58536585365854,2019
wyoming,WY,10.975609756097562,2019
