region,state,overall_policy_total,year
alabama,AL,0,2018
alaska,AK,17.073170731707318,2018
arizona,AZ,15.853658536585366,2018
arkansas,AR,8.536585365853659,2018
california,CA,86.58536585365853,2018
colorado,CO,63.41463414634146,2018
connecticut,CT,74.39024390243902,2018
delaware,DE,59.14634146341463,2018
district of columbia,NA,89.02439024390245,2018
florida,FL,25,2018
georgia,GA,2.4390243902439024,2018
hawaii,HI,68.29268292682927,2018
idaho,ID,15.853658536585366,2018
illinois,IL,69.51219512195121,2018
indiana,IN,21.951219512195124,2018
iowa,IA,39.02439024390244,2018
kansas,KS,11.585365853658537,2018
kentucky,KY,20.73170731707317,2018
louisiana,LA,7.926829268292683,2018
maine,ME,56.09756097560976,2018
maryland,MD,67.6829268292683,2018
massachusetts,MA,75.60975609756098,2018
michigan,MI,29.268292682926827,2018
minnesota,MN,66.46341463414635,2018
mississippi,MS,6.097560975609756,2018
missouri,MO,15.24390243902439,2018
montana,MT,22.5609756097561,2018
nebraska,NE,4.878048780487805,2018
nevada,NV,67.07317073170732,2018
new hampshire,NH,48.170731707317074,2018
new jersey,NJ,76.82926829268293,2018
new mexico,NM,54.268292682926834,2018
new york,NY,69.51219512195121,2018
north carolina,NC,11.585365853658537,2018
north dakota,ND,6.707317073170732,2018
ohio,OH,14.02439024390244,2018
oklahoma,OK,6.097560975609756,2018
oregon,OR,76.21951219512195,2018
pennsylvania,PA,42.073170731707314,2018
rhode island,RI,79.8780487804878,2018
south carolina,SC,4.878048780487805,2018
south dakota,SD,4.878048780487805,2018
tennessee,TN,2.4390243902439024,2018
texas,TX,14.634146341463413,2018
utah,UT,28.04878048780488,2018
vermont,VT,73.17073170731707,2018
virginia,VA,13.414634146341465,2018
washington,WA,78.04878048780488,2018
west virginia,WV,14.634146341463413,2018
wisconsin,WI,29.878048780487802,2018
wyoming,WY,7.926829268292683,2018
