region,state,overall_policy_total,year
alabama,AL,7.228915662650602,2010
alaska,AK,14.457831325301203,2010
arizona,AZ,16.867469879518072,2010
arkansas,AR,14.457831325301203,2010
california,CA,36.144578313253014,2010
colorado,CO,36.144578313253014,2010
connecticut,CT,31.32530120481928,2010
delaware,DE,26.506024096385545,2010
district of columbia,NA,31.32530120481928,2010
florida,FL,12.048192771084338,2010
georgia,GA,12.048192771084338,2010
hawaii,HI,33.734939759036145,2010
idaho,ID,4.819277108433735,2010
illinois,IL,36.144578313253014,2010
indiana,IN,14.457831325301203,2010
iowa,IA,43.373493975903614,2010
kansas,KS,9.63855421686747,2010
kentucky,KY,14.457831325301203,2010
louisiana,LA,24.096385542168676,2010
maine,ME,43.373493975903614,2010
maryland,MD,28.915662650602407,2010
massachusetts,MA,31.32530120481928,2010
michigan,MI,7.228915662650602,2010
minnesota,MN,31.32530120481928,2010
mississippi,MS,0,2010
missouri,MO,12.048192771084338,2010
montana,MT,4.819277108433735,2010
nebraska,NE,14.457831325301203,2010
nevada,NV,33.734939759036145,2010
new hampshire,NH,38.55421686746988,2010
new jersey,NJ,36.144578313253014,2010
new mexico,NM,33.734939759036145,2010
new york,NY,26.506024096385545,2010
north carolina,NC,16.867469879518072,2010
north dakota,ND,2.4096385542168677,2010
ohio,OH,2.4096385542168677,2010
oklahoma,OK,7.228915662650602,2010
oregon,OR,36.144578313253014,2010
pennsylvania,PA,19.27710843373494,2010
rhode island,RI,33.734939759036145,2010
south carolina,SC,2.4096385542168677,2010
south dakota,SD,4.819277108433735,2010
tennessee,TN,14.457831325301203,2010
texas,TX,24.096385542168676,2010
utah,UT,4.819277108433735,2010
vermont,VT,38.55421686746988,2010
virginia,VA,14.457831325301203,2010
washington,WA,33.734939759036145,2010
west virginia,WV,19.27710843373494,2010
wisconsin,WI,24.096385542168676,2010
wyoming,WY,4.819277108433735,2010
