id,state,lgbt,FUNDOTHSTATE,FUNDLOCALGOV,FUNDSMHA,FUNDSTATEWELFARE,FUNDSTATEJUV,FUNDSTATEEDUC
201900130,AL,0,0,1,0,0,0,0
201900131,AL,1,0,1,1,0,0,0
201900132,AL,0,0,0,0,0,0,0
201900133,AL,0,0,1,1,0,0,1
201900134,AL,0,0,0,0,0,0,0
201900135,AL,0,0,1,1,1,1,0
201900136,AL,0,0,0,0,0,0,0
201900137,AL,0,1,0,0,0,0,1
201900138,AL,0,0,1,1,0,0,0
201900139,AL,0,0,0,1,0,0,0
201900140,AL,0,1,1,1,1,1,1
201900141,AL,0,0,0,1,0,0,0
201900142,AL,0,0,0,0,1,1,1
201900143,AL,0,0,0,0,0,0,0
201900144,AL,0,0,0,1,1,1,1
201900145,AL,0,0,0,1,0,0,0
201900146,AL,0,0,1,1,0,0,0
201900147,AL,1,0,1,1,0,0,0
201900148,AL,0,0,0,1,0,0,0
201900149,AL,0,1,1,1,1,1,0
201900150,AL,0,1,1,1,1,1,0
201900151,AL,1,1,1,1,1,1,1
201900152,AL,1,1,1,1,1,1,1
201900153,AL,1,0,0,0,0,1,0
201900154,AL,1,0,1,1,0,1,1
201900155,AL,1,1,1,1,1,1,0
201900156,AL,0,0,1,1,0,0,0
201900157,AL,0,0,0,1,0,0,0
201900158,AL,1,0,1,1,1,1,1
201900159,AL,0,0,0,0,0,0,0
201900160,AL,0,0,0,0,0,0,0
201900161,AL,0,0,0,0,0,0,0
201900162,AL,0,0,1,1,0,0,0
201900163,AL,0,0,0,0,0,0,0
201900164,AL,0,0,0,0,0,0,0
201900165,AL,0,0,0,0,1,0,0
201900166,AL,0,0,0,0,1,0,0
201900167,AL,0,1,0,1,0,0,0
201900168,AL,0,1,0,1,0,0,0
201900169,AL,0,0,0,0,0,0,0
201900170,AL,1,1,1,1,0,1,0
201900171,AL,0,1,1,1,1,1,1
201900172,AL,0,0,0,0,0,0,0
201900173,AL,0,1,1,1,0,0,0
201900174,AL,0,0,0,1,1,1,1
201900175,AL,0,0,0,1,0,0,0
201900176,AL,0,0,0,1,0,0,0
201900177,AL,0,0,0,1,0,0,0
201900178,AL,0,0,0,0,0,0,0
201900179,AL,0,0,1,1,0,0,0
201900180,AL,1,0,0,0,0,0,0
201900181,AL,0,1,0,0,0,0,0
201900182,AL,0,1,0,0,0,0,0
201900183,AL,0,1,1,1,0,0,0
201900184,AL,0,1,1,1,0,0,0
201900185,AL,0,0,0,1,0,0,0
201900186,AL,0,0,1,1,1,0,0
201900187,AL,0,0,1,1,1,0,0
201900188,AL,0,1,1,1,0,0,0
201900189,AL,0,1,1,1,0,0,0
201900190,AL,0,1,1,1,1,0,1
201900191,AL,0,1,0,1,0,0,1
201900192,AL,0,0,1,1,0,0,0
201900193,AL,0,0,1,1,0,0,0
201900194,AL,0,0,1,1,0,0,0
201900195,AL,1,0,0,0,1,1,1
201900196,AL,0,0,1,1,0,0,0
201900197,AL,0,0,0,1,0,0,0
201900198,AL,0,1,1,1,1,0,0
201900199,AL,0,1,1,1,1,1,1
201900200,AL,0,1,1,1,0,0,0
201900201,AL,0,0,1,1,0,0,0
201900202,AL,0,0,1,1,1,0,0
201900203,AL,0,0,0,0,0,0,0
201900204,AL,0,0,0,0,0,0,0
201900205,AL,0,0,1,0,0,0,0
201900206,AL,0,0,1,1,1,1,0
201900207,AL,0,1,1,1,0,1,1
201900208,AL,0,0,0,0,0,0,0
201900209,AL,0,0,0,1,0,0,0
201900210,AL,0,0,0,0,0,0,0
201900211,AL,0,0,0,1,0,0,0
201900212,AL,0,1,1,1,0,1,1
201900213,AL,0,1,1,1,1,1,1
201900214,AL,0,0,1,1,1,1,0
201900215,AL,0,1,1,1,1,0,0
201900216,AL,0,0,0,1,0,0,0
201900217,AL,0,0,0,1,0,1,0
201900218,AL,0,0,0,1,0,0,0
201900219,AL,0,0,0,0,0,0,0
201900220,AL,0,0,1,1,0,0,0
201900221,AL,0,0,1,1,0,0,0
201900222,AL,0,0,0,0,0,0,0
201900223,AL,0,0,0,1,0,0,0
201900224,AL,0,1,1,1,0,0,0
201900225,AL,0,1,1,1,0,0,1
201900226,AL,0,0,0,1,0,0,0
201900227,AL,0,1,1,1,0,0,0
201900228,AL,0,0,0,1,0,0,0
201900229,AL,1,1,1,0,1,0,1
201900230,AL,0,0,0,0,0,0,0
201900231,AL,0,0,1,1,1,1,1
201900232,AL,0,1,1,1,1,1,0
201900233,AL,0,0,1,1,0,0,0
201900234,AL,0,0,1,1,0,0,0
201900235,AL,0,0,1,1,0,0,0
