region,case_state,year,govt_fund,lgbtq_perc,lgbtq_perc_actual,lgbtq_total,n,govt_total,perc_confirmed,lgbtq_actual,t,n_facility,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,l_lgbtq_perc,l2_lgbtq_perc,l3_lgbtq_perc,l4_lgbtq_perc,l5_lgbtq_perc,l6_lgbtq_perc,l_lgbtq_actual,l2_lgbtq_actual,l3_lgbtq_actual,l4_lgbtq_actual,l5_lgbtq_actual,l6_lgbtq_actual,l_lgbtq_perc_actual,l2_lgbtq_perc_actual,l3_lgbtq_perc_actual,l4_lgbtq_perc_actual,l5_lgbtq_perc_actual,l6_lgbtq_perc_actual
arkansas,3,2010,75.8064516129032,8.06451612903226,0.23719165085389,5,62,47,0.0294117647058824,0.147058823529412,1,241.879417062895,14.4578313253012,3,1,4,7.2289156626506,63.768115942029,2,14.4578313253012,83.1168831168831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.89855072463768,2.5974025974026,NA,NA,NA,NA,0.153846153846154,0,NA,NA,NA,NA,0.111482720178372,0,NA,NA,NA,NA
arizona,4,2010,42.9906542056075,3.73831775700935,0.55927588490691,8,214,92,0.149606299212598,1.19685039370079,1,257.655874477122,16.8674698795181,4,1,5,14.4578313253012,75.8064516129032,4,7.2289156626506,63.768115942029,2,14.4578313253012,83.1168831168831,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.06451612903226,2.89855072463768,2.5974025974026,NA,NA,NA,0.147058823529412,0.153846153846154,0,NA,NA,NA,0.23719165085389,0.111482720178372,0,NA,NA,NA
california,5,2010,60.3936039360394,10.2706027060271,1.55294336448519,167,1626,982,0.151202749140893,25.2508591065292,1,737.668353775094,36.144578313253,5,1,8,16.8674698795181,42.9906542056075,5,14.4578313253012,75.8064516129032,4,7.2289156626506,63.768115942029,2,14.4578313253012,83.1168831168831,NA,NA,NA,NA,NA,NA,3.73831775700935,8.06451612903226,2.89855072463768,2.5974025974026,NA,NA,1.19685039370079,0.147058823529412,0.153846153846154,0,NA,NA,0.55927588490691,0.23719165085389,0.111482720178372,0,NA,NA
colorado,6,2010,50.5720823798627,10.0686498855835,1.59503364524095,44,437,221,0.158415841584158,6.97029702970297,1,254.949314473412,36.144578313253,6,1,167,36.144578313253,60.3936039360394,8,16.8674698795181,42.9906542056075,5,14.4578313253012,75.8064516129032,4,7.2289156626506,63.768115942029,2,14.4578313253012,83.1168831168831,NA,NA,NA,10.2706027060271,3.73831775700935,8.06451612903226,2.89855072463768,2.5974025974026,NA,25.2508591065292,1.19685039370079,0.147058823529412,0.153846153846154,0,NA,1.55294336448519,0.55927588490691,0.23719165085389,0.111482720178372,0,NA
connecticut,7,2010,71.2820512820513,2.05128205128205,0.139069969578444,4,195,139,0.0677966101694915,0.271186440677966,1,348.679193234106,31.3253012048193,7,1,44,36.144578313253,50.5720823798627,167,36.144578313253,60.3936039360394,8,16.8674698795181,42.9906542056075,5,14.4578313253012,75.8064516129032,4,7.2289156626506,63.768115942029,2,14.4578313253012,83.1168831168831,10.0686498855835,10.2706027060271,3.73831775700935,8.06451612903226,2.89855072463768,2.5974025974026,6.97029702970297,25.2508591065292,1.19685039370079,0.147058823529412,0.153846153846154,0,1.59503364524095,1.55294336448519,0.55927588490691,0.23719165085389,0.111482720178372,0
delaware,8,2010,67.5675675675676,5.40540540540541,0.45045045045045,2,37,25,0.0833333333333333,0.166666666666667,1,175.021489719716,26.5060240963855,8,1,4,31.3253012048193,71.2820512820513,44,36.144578313253,50.5720823798627,167,36.144578313253,60.3936039360394,8,16.8674698795181,42.9906542056075,5,14.4578313253012,75.8064516129032,4,7.2289156626506,63.768115942029,2.05128205128205,10.0686498855835,10.2706027060271,3.73831775700935,8.06451612903226,2.89855072463768,0.271186440677966,6.97029702970297,25.2508591065292,1.19685039370079,0.147058823529412,0.153846153846154,0.139069969578444,1.59503364524095,1.55294336448519,0.55927588490691,0.23719165085389,0.111482720178372
florida,9,2010,51.7706576728499,6.57672849915683,0.80279315013182,39,593,307,0.122065727699531,4.76056338028169,1,342.783701978676,12.0481927710843,9,1,2,26.5060240963855,67.5675675675676,4,31.3253012048193,71.2820512820513,44,36.144578313253,50.5720823798627,167,36.144578313253,60.3936039360394,8,16.8674698795181,42.9906542056075,5,14.4578313253012,75.8064516129032,5.40540540540541,2.05128205128205,10.0686498855835,10.2706027060271,3.73831775700935,8.06451612903226,0.166666666666667,0.271186440677966,6.97029702970297,25.2508591065292,1.19685039370079,0.147058823529412,0.45045045045045,0.139069969578444,1.59503364524095,1.55294336448519,0.55927588490691,0.23719165085389
georgia,10,2010,46.9135802469136,2.46913580246914,0.249687890137328,6,243,114,0.101123595505618,0.606741573033708,1,271.585941213888,12.0481927710843,10,1,39,12.0481927710843,51.7706576728499,2,26.5060240963855,67.5675675675676,4,31.3253012048193,71.2820512820513,44,36.144578313253,50.5720823798627,167,36.144578313253,60.3936039360394,8,16.8674698795181,42.9906542056075,6.57672849915683,5.40540540540541,2.05128205128205,10.0686498855835,10.2706027060271,3.73831775700935,4.76056338028169,0.166666666666667,0.271186440677966,6.97029702970297,25.2508591065292,1.19685039370079,0.80279315013182,0.45045045045045,0.139069969578444,1.59503364524095,1.55294336448519,0.55927588490691
hawaii,11,2010,87.3949579831933,2.52100840336134,0,3,119,104,0,0,1,294.591497051933,33.7349397590361,11,1,6,12.0481927710843,46.9135802469136,39,12.0481927710843,51.7706576728499,2,26.5060240963855,67.5675675675676,4,31.3253012048193,71.2820512820513,44,36.144578313253,50.5720823798627,167,36.144578313253,60.3936039360394,2.46913580246914,6.57672849915683,5.40540540540541,2.05128205128205,10.0686498855835,10.2706027060271,0.606741573033708,4.76056338028169,0.166666666666667,0.271186440677966,6.97029702970297,25.2508591065292,0.249687890137328,0.80279315013182,0.45045045045045,0.139069969578444,1.59503364524095,1.55294336448519
iowa,12,2010,76,0.8,0.1,1,125,95,0.125,0.125,1,210.26167114094,43.3734939759036,12,1,3,33.7349397590361,87.3949579831933,6,12.0481927710843,46.9135802469136,39,12.0481927710843,51.7706576728499,2,26.5060240963855,67.5675675675676,4,31.3253012048193,71.2820512820513,44,36.144578313253,50.5720823798627,2.52100840336134,2.46913580246914,6.57672849915683,5.40540540540541,2.05128205128205,10.0686498855835,0,0.606741573033708,4.76056338028169,0.166666666666667,0.271186440677966,6.97029702970297,0,0.249687890137328,0.80279315013182,0.45045045045045,0.139069969578444,1.59503364524095
idaho,13,2010,67.741935483871,3.2258064516129,0.258064516129032,3,93,63,0.08,0.24,1,300.555608914843,4.81927710843374,13,1,1,43.3734939759036,76,3,33.7349397590361,87.3949579831933,6,12.0481927710843,46.9135802469136,39,12.0481927710843,51.7706576728499,2,26.5060240963855,67.5675675675676,4,31.3253012048193,71.2820512820513,0.8,2.52100840336134,2.46913580246914,6.57672849915683,5.40540540540541,2.05128205128205,0.125,0,0.606741573033708,4.76056338028169,0.166666666666667,0.271186440677966,0.1,0,0.249687890137328,0.80279315013182,0.45045045045045,0.139069969578444
illinois,14,2010,53.960396039604,6.6006600660066,0.749011071319898,40,606,327,0.113475177304965,4.53900709219858,1,382.137901901539,36.144578313253,14,1,3,4.81927710843374,67.741935483871,1,43.3734939759036,76,3,33.7349397590361,87.3949579831933,6,12.0481927710843,46.9135802469136,39,12.0481927710843,51.7706576728499,2,26.5060240963855,67.5675675675676,3.2258064516129,0.8,2.52100840336134,2.46913580246914,6.57672849915683,5.40540540540541,0.24,0.125,0,0.606741573033708,4.76056338028169,0.166666666666667,0.258064516129032,0.1,0,0.249687890137328,0.80279315013182,0.45045045045045
indiana,15,2010,63.003663003663,3.66300366300366,0.180147721131328,10,273,172,0.0491803278688525,0.491803278688525,1,303.643494096667,14.4578313253012,15,1,40,36.144578313253,53.960396039604,3,4.81927710843374,67.741935483871,1,43.3734939759036,76,3,33.7349397590361,87.3949579831933,6,12.0481927710843,46.9135802469136,39,12.0481927710843,51.7706576728499,6.6006600660066,3.2258064516129,0.8,2.52100840336134,2.46913580246914,6.57672849915683,4.53900709219858,0.24,0.125,0,0.606741573033708,4.76056338028169,0.749011071319898,0.258064516129032,0.1,0,0.249687890137328,0.80279315013182
kansas,16,2010,55.9241706161137,5.21327014218009,0.744752877454299,11,211,118,0.142857142857143,1.57142857142857,1,248.629991248078,9.63855421686747,16,1,10,14.4578313253012,63.003663003663,40,36.144578313253,53.960396039604,3,4.81927710843374,67.741935483871,1,43.3734939759036,76,3,33.7349397590361,87.3949579831933,6,12.0481927710843,46.9135802469136,3.66300366300366,6.6006600660066,3.2258064516129,0.8,2.52100840336134,2.46913580246914,0.491803278688525,4.53900709219858,0.24,0.125,0,0.606741573033708,0.180147721131328,0.749011071319898,0.258064516129032,0.1,0,0.249687890137328
kentucky,17,2010,51.877133105802,3.7542662116041,0.28878970858493,11,293,152,0.0769230769230769,0.846153846153846,1,337.495853023168,14.4578313253012,17,1,11,9.63855421686747,55.9241706161137,10,14.4578313253012,63.003663003663,40,36.144578313253,53.960396039604,3,4.81927710843374,67.741935483871,1,43.3734939759036,76,3,33.7349397590361,87.3949579831933,5.21327014218009,3.66300366300366,6.6006600660066,3.2258064516129,0.8,2.52100840336134,1.57142857142857,0.491803278688525,4.53900709219858,0.24,0.125,0,0.744752877454299,0.180147721131328,0.749011071319898,0.258064516129032,0.1,0
louisiana,18,2010,74.025974025974,3.24675324675325,0,5,154,114,0,0,1,361.237992501553,24.0963855421687,18,1,11,14.4578313253012,51.877133105802,11,9.63855421686747,55.9241706161137,10,14.4578313253012,63.003663003663,40,36.144578313253,53.960396039604,3,4.81927710843374,67.741935483871,1,43.3734939759036,76,3.7542662116041,5.21327014218009,3.66300366300366,6.6006600660066,3.2258064516129,0.8,0.846153846153846,1.57142857142857,0.491803278688525,4.53900709219858,0.24,0.125,0.28878970858493,0.744752877454299,0.180147721131328,0.749011071319898,0.258064516129032,0.1
massachusetts,19,2010,60.9120521172638,5.53745928338762,0.738327904451683,17,307,187,0.133333333333333,2.26666666666667,1,214.617246931827,31.3253012048193,19,1,5,24.0963855421687,74.025974025974,11,14.4578313253012,51.877133105802,11,9.63855421686747,55.9241706161137,10,14.4578313253012,63.003663003663,40,36.144578313253,53.960396039604,3,4.81927710843374,67.741935483871,3.24675324675325,3.7542662116041,5.21327014218009,3.66300366300366,6.6006600660066,3.2258064516129,0,0.846153846153846,1.57142857142857,0.491803278688525,4.53900709219858,0.24,0,0.28878970858493,0.744752877454299,0.180147721131328,0.749011071319898,0.258064516129032
maryland,20,2010,53.0973451327434,4.71976401179941,0.51622418879056,16,339,180,0.109375,1.75,1,272.167366719607,28.9156626506024,20,1,17,31.3253012048193,60.9120521172638,5,24.0963855421687,74.025974025974,11,14.4578313253012,51.877133105802,11,9.63855421686747,55.9241706161137,10,14.4578313253012,63.003663003663,40,36.144578313253,53.960396039604,5.53745928338762,3.24675324675325,3.7542662116041,5.21327014218009,3.66300366300366,6.6006600660066,2.26666666666667,0,0.846153846153846,1.57142857142857,0.491803278688525,4.53900709219858,0.738327904451683,0,0.28878970858493,0.744752877454299,0.180147721131328,0.749011071319898
maine,21,2010,35.7541899441341,3.91061452513966,1.03516266841932,7,179,64,0.264705882352941,1.85294117647059,1,325.028648441448,43.3734939759036,21,1,16,28.9156626506024,53.0973451327434,17,31.3253012048193,60.9120521172638,5,24.0963855421687,74.025974025974,11,14.4578313253012,51.877133105802,11,9.63855421686747,55.9241706161137,10,14.4578313253012,63.003663003663,4.71976401179941,5.53745928338762,3.24675324675325,3.7542662116041,5.21327014218009,3.66300366300366,1.75,2.26666666666667,0,0.846153846153846,1.57142857142857,0.491803278688525,0.51622418879056,0.738327904451683,0,0.28878970858493,0.744752877454299,0.180147721131328
michigan,22,2010,58.5263157894737,5.26315789473684,0.88539104771274,25,475,278,0.168224299065421,4.20560747663551,1,318.74906595372,7.2289156626506,22,1,7,43.3734939759036,35.7541899441341,16,28.9156626506024,53.0973451327434,17,31.3253012048193,60.9120521172638,5,24.0963855421687,74.025974025974,11,14.4578313253012,51.877133105802,11,9.63855421686747,55.9241706161137,3.91061452513966,4.71976401179941,5.53745928338762,3.24675324675325,3.7542662116041,5.21327014218009,1.85294117647059,1.75,2.26666666666667,0,0.846153846153846,1.57142857142857,1.03516266841932,0.51622418879056,0.738327904451683,0,0.28878970858493,0.744752877454299
minnesota,23,2010,51.9480519480519,7.14285714285714,0.970017636684303,22,308,160,0.135802469135802,2.98765432098765,1,358.884287549738,31.3253012048193,23,1,25,7.2289156626506,58.5263157894737,7,43.3734939759036,35.7541899441341,16,28.9156626506024,53.0973451327434,17,31.3253012048193,60.9120521172638,5,24.0963855421687,74.025974025974,11,14.4578313253012,51.877133105802,5.26315789473684,3.91061452513966,4.71976401179941,5.53745928338762,3.24675324675325,3.7542662116041,4.20560747663551,1.85294117647059,1.75,2.26666666666667,0,0.846153846153846,0.88539104771274,1.03516266841932,0.51622418879056,0.738327904451683,0,0.28878970858493
missouri,24,2010,80.6818181818182,2.27272727272727,0.12987012987013,6,264,213,0.0571428571428571,0.342857142857143,1,329.383601152727,12.0481927710843,24,1,22,31.3253012048193,51.9480519480519,25,7.2289156626506,58.5263157894737,7,43.3734939759036,35.7541899441341,16,28.9156626506024,53.0973451327434,17,31.3253012048193,60.9120521172638,5,24.0963855421687,74.025974025974,7.14285714285714,5.26315789473684,3.91061452513966,4.71976401179941,5.53745928338762,3.24675324675325,2.98765432098765,4.20560747663551,1.85294117647059,1.75,2.26666666666667,0,0.970017636684303,0.88539104771274,1.03516266841932,0.51622418879056,0.738327904451683,0
mississippi,25,2010,75.4901960784314,4.43296151641029,1.09802865903318,15.9820414605564,102,77,0.136363636363636,4.03331190505423,1,300.219718719053,0,25,1,6,12.0481927710843,80.6818181818182,22,31.3253012048193,51.9480519480519,25,7.2289156626506,58.5263157894737,7,43.3734939759036,35.7541899441341,16,28.9156626506024,53.0973451327434,17,31.3253012048193,60.9120521172638,2.27272727272727,7.14285714285714,5.26315789473684,3.91061452513966,4.71976401179941,5.53745928338762,0.342857142857143,2.98765432098765,4.20560747663551,1.85294117647059,1.75,2.26666666666667,0.12987012987013,0.970017636684303,0.88539104771274,1.03516266841932,0.51622418879056,0.738327904451683
montana,26,2010,83.0188679245283,3.77358490566038,0.171526586620926,2,53,44,0.0454545454545455,0.0909090909090909,1,245.653728728504,4.81927710843374,26,1,15.9820414605564,0,75.4901960784314,6,12.0481927710843,80.6818181818182,22,31.3253012048193,51.9480519480519,25,7.2289156626506,58.5263157894737,7,43.3734939759036,35.7541899441341,16,28.9156626506024,53.0973451327434,4.43296151641029,2.27272727272727,7.14285714285714,5.26315789473684,3.91061452513966,4.71976401179941,4.03331190505423,0.342857142857143,2.98765432098765,4.20560747663551,1.85294117647059,1.75,1.09802865903318,0.12987012987013,0.970017636684303,0.88539104771274,1.03516266841932,0.51622418879056
