state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,t2,l_lgbtq_total,l_state_policy,l_govt_fund,l2_lgbtq_total,l2_state_policy,l2_govt_fund,l3_lgbtq_total,l3_state_policy,l3_govt_fund,l4_lgbtq_total,l4_state_policy,l4_govt_fund,l5_lgbtq_total,l5_state_policy,l5_govt_fund,l6_lgbtq_total,l6_state_policy,l6_govt_fund,l_lgbtq_perc,l2_lgbtq_perc,l3_lgbtq_perc,l4_lgbtq_perc,l5_lgbtq_perc,l6_lgbtq_perc,fd_govt_fund,fd_l_govt_fund,fd_l2_govt_fund,fd_l3_govt_fund,fd_l4_govt_fund
kentucky,17,2014,37,182,18.048780487804876,88.78048780487805,1,18.39080459770115,17,1,16,9.195402298850574,92.80575539568345,44,48.275862068965516,91.22257053291536,95,80.45977011494253,86.45833333333334,62,11.494252873563218,88.57142857142857,31,73.5632183908046,95.45454545454545,18,73.5632183908046,88.88888888888889,11.510791366906476,13.793103448275861,19.791666666666664,29.523809523809526,17.613636363636363,28.57142857142857,-4.025267590805399,1.5831848627680927,4.764237199582013,-2.1130952380952266,-6.883116883116884
louisiana,18,2014,48,120,27.27272727272727,68.18181818181817,1,9.195402298850574,18,1,37,18.39080459770115,88.78048780487805,16,9.195402298850574,92.80575539568345,44,48.275862068965516,91.22257053291536,95,80.45977011494253,86.45833333333334,62,11.494252873563218,88.57142857142857,31,73.5632183908046,95.45454545454545,18.048780487804876,11.510791366906476,13.793103448275861,19.791666666666664,29.523809523809526,17.613636363636363,-20.598669623059877,-4.025267590805399,1.5831848627680927,4.764237199582013,-2.1130952380952266
massachusetts,19,2014,120,273,33.89830508474576,77.11864406779661,1,82.75862068965517,19,1,48,9.195402298850574,68.18181818181817,37,18.39080459770115,88.78048780487805,16,9.195402298850574,92.80575539568345,44,48.275862068965516,91.22257053291536,95,80.45977011494253,86.45833333333334,62,11.494252873563218,88.57142857142857,27.27272727272727,18.048780487804876,11.510791366906476,13.793103448275861,19.791666666666664,29.523809523809526,8.936825885978436,-20.598669623059877,-4.025267590805399,1.5831848627680927,4.764237199582013
maryland,20,2014,85,243,27.508090614886733,78.64077669902912,1,73.5632183908046,20,1,120,82.75862068965517,77.11864406779661,48,9.195402298850574,68.18181818181817,37,18.39080459770115,88.78048780487805,16,9.195402298850574,92.80575539568345,44,48.275862068965516,91.22257053291536,95,80.45977011494253,86.45833333333334,33.89830508474576,27.27272727272727,18.048780487804876,11.510791366906476,13.793103448275861,19.791666666666664,1.522132631232509,8.936825885978436,-20.598669623059877,-4.025267590805399,1.5831848627680927
maine,21,2014,46,195,22.00956937799043,93.30143540669856,1,94.25287356321839,21,1,85,73.5632183908046,78.64077669902912,120,82.75862068965517,77.11864406779661,48,9.195402298850574,68.18181818181817,37,18.39080459770115,88.78048780487805,16,9.195402298850574,92.80575539568345,44,48.275862068965516,91.22257053291536,27.508090614886733,33.89830508474576,27.27272727272727,18.048780487804876,11.510791366906476,13.793103448275861,14.660658707669441,1.522132631232509,8.936825885978436,-20.598669623059877,-4.025267590805399
michigan,22,2014,70,301,19.718309859154928,84.78873239436619,1,4.597701149425287,22,1,46,94.25287356321839,93.30143540669856,85,73.5632183908046,78.64077669902912,120,82.75862068965517,77.11864406779661,48,9.195402298850574,68.18181818181817,37,18.39080459770115,88.78048780487805,16,9.195402298850574,92.80575539568345,22.00956937799043,27.508090614886733,33.89830508474576,27.27272727272727,18.048780487804876,11.510791366906476,-8.512703012332366,14.660658707669441,1.522132631232509,8.936825885978436,-20.598669623059877
minnesota,23,2014,45,221,18.672199170124482,91.70124481327801,1,71.26436781609196,23,1,70,4.597701149425287,84.78873239436619,46,94.25287356321839,93.30143540669856,85,73.5632183908046,78.64077669902912,120,82.75862068965517,77.11864406779661,48,9.195402298850574,68.18181818181817,37,18.39080459770115,88.78048780487805,19.718309859154928,22.00956937799043,27.508090614886733,33.89830508474576,27.27272727272727,18.048780487804876,6.912512418911817,-8.512703012332366,14.660658707669441,1.522132631232509,8.936825885978436
missouri,24,2014,62,201,27.43362831858407,88.93805309734513,1,13.793103448275861,24,1,45,71.26436781609196,91.70124481327801,70,4.597701149425287,84.78873239436619,46,94.25287356321839,93.30143540669856,85,73.5632183908046,78.64077669902912,120,82.75862068965517,77.11864406779661,48,9.195402298850574,68.18181818181817,18.672199170124482,19.718309859154928,22.00956937799043,27.508090614886733,33.89830508474576,27.27272727272727,-2.7631917159328765,6.912512418911817,-8.512703012332366,14.660658707669441,1.522132631232509
mississippi,25,2014,49,171,23.67149758454106,82.6086956521739,1,4.597701149425287,25,1,62,13.793103448275861,88.93805309734513,45,71.26436781609196,91.70124481327801,70,4.597701149425287,84.78873239436619,46,94.25287356321839,93.30143540669856,85,73.5632183908046,78.64077669902912,120,82.75862068965517,77.11864406779661,27.43362831858407,18.672199170124482,19.718309859154928,22.00956937799043,27.508090614886733,33.89830508474576,-6.329357445171226,-2.7631917159328765,6.912512418911817,-8.512703012332366,14.660658707669441
montana,26,2014,21,102,19.444444444444446,94.44444444444444,1,11.494252873563218,26,1,49,4.597701149425287,82.6086956521739,62,13.793103448275861,88.93805309734513,45,71.26436781609196,91.70124481327801,70,4.597701149425287,84.78873239436619,46,94.25287356321839,93.30143540669856,85,73.5632183908046,78.64077669902912,23.67149758454106,27.43362831858407,18.672199170124482,19.718309859154928,22.00956937799043,27.508090614886733,11.835748792270536,-6.329357445171226,-2.7631917159328765,6.912512418911817,-8.512703012332366
north carolina,27,2014,92,337,23.29113924050633,85.31645569620252,1,16.091954022988507,27,1,21,11.494252873563218,94.44444444444444,49,4.597701149425287,82.6086956521739,62,13.793103448275861,88.93805309734513,45,71.26436781609196,91.70124481327801,70,4.597701149425287,84.78873239436619,46,94.25287356321839,93.30143540669856,19.444444444444446,23.67149758454106,27.43362831858407,18.672199170124482,19.718309859154928,22.00956937799043,-9.127988748241918,11.835748792270536,-6.329357445171226,-2.7631917159328765,6.912512418911817
north dakota,28,2014,6,28,20.689655172413794,96.55172413793103,1,4.597701149425287,28,1,92,16.091954022988507,85.31645569620252,21,11.494252873563218,94.44444444444444,49,4.597701149425287,82.6086956521739,62,13.793103448275861,88.93805309734513,45,71.26436781609196,91.70124481327801,70,4.597701149425287,84.78873239436619,23.29113924050633,19.444444444444446,23.67149758454106,27.43362831858407,18.672199170124482,19.718309859154928,11.235268441728508,-9.127988748241918,11.835748792270536,-6.329357445171226,-2.7631917159328765
nebraska,29,2014,16,106,14.035087719298245,92.98245614035088,1,13.793103448275861,29,1,6,4.597701149425287,96.55172413793103,92,16.091954022988507,85.31645569620252,21,11.494252873563218,94.44444444444444,49,4.597701149425287,82.6086956521739,62,13.793103448275861,88.93805309734513,45,71.26436781609196,91.70124481327801,20.689655172413794,23.29113924050633,19.444444444444446,23.67149758454106,27.43362831858407,18.672199170124482,-3.5692679975801553,11.235268441728508,-9.127988748241918,11.835748792270536,-6.329357445171226
