state,case_state,year,lgbtq_total,govt_total,lgbtq_perc,govt_fund,t,state_policy,temp_id
north dakota,28,2015,5,33,15.151515151515152,100,2,6.329113924050633,78
nebraska,29,2015,23,115,18.852459016393443,94.26229508196722,2,8.227848101265822,79
new hampshire,30,2015,14,49,20.8955223880597,73.13432835820896,2,27.848101265822784,80
new jersey,31,2015,51,264,15.223880597014924,78.80597014925374,2,64.55696202531645,81
new mexico,32,2015,19,71,24.675324675324674,92.20779220779221,2,41.77215189873418,82
nevada,33,2015,13,36,25,69.23076923076923,2,47.46835443037975,83
new york,34,2015,238,756,24.16243654822335,76.751269035533,2,51.26582278481012,84
ohio,35,2015,93,524,15.789473684210526,88.96434634974533,2,13.291139240506327,85
oklahoma,36,2015,24,121,16,80.66666666666666,2,6.329113924050633,86
oregon,37,2015,28,172,15.135135135135137,92.97297297297298,2,74.68354430379746,87
pennsylvania,38,2015,107,513,17.483660130718953,83.82352941176471,2,17.72151898734177,88
rhode island,39,2015,6,51,9.375,79.6875,2,58.22784810126582,89
south carolina,40,2015,16,108,12.121212121212121,81.81818181818183,2,3.79746835443038,90
south dakota,41,2015,9,51,16.666666666666664,94.44444444444444,2,8.860759493670885,91
tennessee,42,2015,37,265,11.78343949044586,84.39490445859873,2,1.2658227848101267,92
texas,43,2015,63,316,16.49214659685864,82.72251308900523,2,10.126582278481013,93
utah,44,2015,17,96,15.315315315315313,86.48648648648648,2,22.78481012658228,94
virginia,45,2015,48,267,16.608996539792386,92.38754325259517,2,6.329113924050633,95
vermont,46,2015,13,69,17.105263157894736,90.78947368421053,2,66.45569620253164,96
washington,47,2015,51,243,19.172932330827066,91.35338345864662,2,64.55696202531645,97
wisconsin,48,2015,77,362,17.073170731707318,80.26607538802661,2,29.746835443037973,98
west virginia,49,2015,17,106,13.709677419354838,85.48387096774194,2,13.924050632911392,99
wyoming,50,2015,9,52,16.666666666666664,96.29629629629629,2,8.860759493670885,100
alaska,1,2016,14,90,14.14141414141414,90.9090909090909,3,12.987012987012985,101
alabama,2,2016,17,175,8.808290155440414,90.67357512953367,3,0,102
arkansas,3,2016,11,164,4.680851063829787,69.7872340425532,3,6.493506493506493,103
arizona,4,2016,61,318,16.137566137566136,84.12698412698413,3,8.441558441558442,104
california,5,2016,150,721,17.045454545454543,81.93181818181819,3,78.57142857142857,105
colorado,6,2016,20,174,10.75268817204301,93.54838709677419,3,59.09090909090909,106
connecticut,7,2016,44,199,18.88412017167382,85.40772532188842,3,62.33766233766234,107
delaware,8,2016,7,27,24.137931034482758,93.10344827586206,3,41.55844155844156,108
florida,9,2016,64,404,13.061224489795919,82.44897959183673,3,17.532467532467532,109
georgia,10,2016,37,193,16.894977168949772,88.12785388127854,3,1.2987012987012987,110
hawaii,11,2016,7,41,15.555555555555555,91.11111111111111,3,40.25974025974026,111
iowa,12,2016,5,142,3.225806451612903,91.61290322580645,3,33.76623376623377,112
idaho,13,2016,26,150,14.689265536723164,84.7457627118644,3,9.740259740259742,113
illinois,14,2016,24,325,6.122448979591836,82.90816326530613,3,57.7922077922078,114
indiana,15,2016,28,271,9.30232558139535,90.03322259136213,3,14.935064935064934,115
kansas,16,2016,7,106,5.88235294117647,89.07563025210085,3,11.688311688311687,116
kentucky,17,2016,37,196,16.7420814479638,88.68778280542986,3,11.688311688311687,117
louisiana,18,2016,19,118,10.16042780748663,63.101604278074866,3,2.5974025974025974,118
massachusetts,19,2016,51,256,15.04424778761062,75.51622418879056,3,67.53246753246754,119
maryland,20,2016,47,235,16.095890410958905,80.47945205479452,3,57.14285714285714,120
maine,21,2016,13,188,6.403940886699508,92.61083743842364,3,54.54545454545454,121
michigan,22,2016,51,307,14.206128133704734,85.51532033426183,3,7.792207792207792,122
minnesota,23,2016,20,209,8.333333333333332,87.08333333333333,3,56.493506493506494,123
missouri,24,2016,10,193,4.5662100456621,88.12785388127854,3,3.896103896103896,124
mississippi,25,2016,18,152,9.94475138121547,83.97790055248619,3,3.896103896103896,125
montana,26,2016,13,85,14.772727272727273,96.5909090909091,3,7.792207792207792,126
north carolina,27,2016,43,250,14.144736842105262,82.23684210526315,3,7.792207792207792,127
north dakota,28,2016,4,26,12.5,81.25,3,3.896103896103896,128
nebraska,29,2016,15,126,11.538461538461538,96.92307692307692,3,5.844155844155844,129
new hampshire,30,2016,14,45,22.58064516129032,72.58064516129032,3,25.97402597402597,130
new jersey,31,2016,51,255,16.037735849056602,80.18867924528303,3,63.63636363636363,131
new mexico,32,2016,12,65,16.666666666666664,90.27777777777779,3,40.25974025974026,132
nevada,33,2016,7,38,13.725490196078432,74.50980392156863,3,46.103896103896105,133
new york,34,2016,144,713,16.05351170568562,79.48717948717949,3,62.98701298701299,134
ohio,35,2016,78,505,13.588850174216027,87.97909407665504,3,11.03896103896104,135
oklahoma,36,2016,25,118,16.89189189189189,79.72972972972973,3,3.896103896103896,136
oregon,37,2016,20,156,11.76470588235294,91.76470588235294,3,72.72727272727273,137
pennsylvania,38,2016,60,482,10.238907849829351,82.25255972696246,3,18.181818181818183,138
rhode island,39,2016,9,50,14.516129032258066,80.64516129032258,3,70.12987012987013,139
south carolina,40,2016,10,103,8.264462809917356,85.12396694214877,3,3.896103896103896,140
south dakota,41,2016,2,45,4.166666666666666,93.75,3,6.493506493506493,141
tennessee,42,2016,23,251,7.876712328767123,85.95890410958904,3,1.2987012987012987,142
texas,43,2016,40,303,11.049723756906078,83.70165745856355,3,10.38961038961039,143
utah,44,2016,10,98,8.620689655172415,84.48275862068965,3,20.77922077922078,144
virginia,45,2016,27,255,9.89010989010989,93.4065934065934,3,6.493506493506493,145
vermont,46,2016,15,67,19.736842105263158,88.1578947368421,3,73.37662337662337,146
washington,47,2016,34,255,12.014134275618375,90.10600706713781,3,68.83116883116884,147
wisconsin,48,2016,45,350,10.465116279069768,81.3953488372093,3,27.92207792207792,148
west virginia,49,2016,7,99,6.1946902654867255,87.61061946902655,3,11.688311688311687,149
wyoming,50,2016,8,50,15.686274509803921,98.0392156862745,3,6.493506493506493,150
alaska,1,2017,14,80,16.27906976744186,93.02325581395348,4,17.073170731707318,151
alabama,2,2017,19,155,10.857142857142858,88.57142857142857,4,0,152
arkansas,3,2017,20,164,9.174311926605505,75.22935779816514,4,7.317073170731707,153
arizona,4,2017,71,308,19.086021505376344,82.79569892473118,4,13.414634146341465,154
