region,case_state,year,lgbtq_total,lgbtq_perc,govt_fund,t,state_policy,temp_id,perc_confirmed,lgbtq_actual
michigan,22,2010,25,5.26315789473684,58.5263157894737,1,7.2289156626506,22,0.168224299065421,4.20560747663551
minnesota,23,2010,22,7.14285714285714,51.9480519480519,1,31.3253012048193,23,0.135802469135802,2.98765432098765
missouri,24,2010,6,2.27272727272727,80.6818181818182,1,12.0481927710843,24,0.0571428571428571,0.342857142857143
mississippi,25,2010,16.9615457678092,9.74098446672273,75.4901960784314,1,0,25,0.136363636363636,3.90477778245378
montana,26,2010,2,3.77358490566038,83.0188679245283,1,4.81927710843374,26,0.0454545454545455,0.0909090909090909
north carolina,27,2010,22,5.5,48.25,1,16.8674698795181,27,0.0648648648648649,1.42702702702703
north dakota,28,2010,2,3.50877192982456,40.3508771929825,1,2.40963855421687,28,0.25,0.5
nebraska,29,2010,3,2.60869565217391,81.7391304347826,1,14.4578313253012,29,0.368421052631579,1.10526315789474
new hampshire,30,2010,2,3.84615384615385,63.4615384615385,1,38.5542168674699,30,0,0
new jersey,31,2010,25,7.46268656716418,60.2985074626866,1,36.144578313253,31,0.099236641221374,2.48091603053435
new mexico,32,2010,14,9.9290780141844,78.0141843971631,1,33.7349397590361,32,0.137931034482759,1.93103448275862
nevada,33,2010,5,5.95238095238095,60.7142857142857,1,33.7349397590361,33,0.159090909090909,0.795454545454545
new york,34,2010,77,7.7,58.2,1,26.5060240963855,34,0.139130434782609,10.7130434782609
ohio,35,2010,4,1.07238605898123,71.8498659517426,1,2.40963855421687,35,0.12280701754386,0.491228070175439
oklahoma,36,2010,7,3.66492146596859,62.303664921466,1,7.2289156626506,36,0.127272727272727,0.890909090909091
oregon,37,2010,20,8.92857142857143,62.0535714285714,1,36.144578313253,37,0.0784313725490196,1.56862745098039
pennsylvania,38,2010,35,6.56660412757974,60.4127579737336,1,19.2771084337349,38,0.225563909774436,7.89473684210526
rhode island,39,2010,4,7.54716981132075,67.9245283018868,1,33.7349397590361,39,0.142857142857143,0.571428571428571
south carolina,40,2010,4,3.88349514563107,56.3106796116505,1,2.40963855421687,40,0.0714285714285714,0.285714285714286
south dakota,41,2010,1,1.81818181818182,78.1818181818182,1,4.81927710843374,41,0.111111111111111,0.111111111111111
tennessee,42,2010,5,2.47524752475248,69.3069306930693,1,14.4578313253012,42,0.05,0.25
texas,43,2010,20,4.40528634361234,55.726872246696,1,24.0963855421687,43,0.096,1.92
utah,44,2010,14,9.58904109589041,44.5205479452055,1,4.81927710843374,44,0.128205128205128,1.79487179487179
virginia,45,2010,7,3.36538461538462,62.9807692307692,1,14.4578313253012,45,0.0816326530612245,0.571428571428571
vermont,46,2010,4,9.52380952380952,69.0476190476191,1,38.5542168674699,46,0.333333333333333,1.33333333333333
washington,47,2010,17,3.73626373626374,54.2857142857143,1,33.7349397590361,47,0.115942028985507,1.97101449275362
wisconsin,48,2010,18,7.2,55.2,1,24.0963855421687,48,0.0476190476190476,0.857142857142857
west virginia,49,2010,4,4.8780487804878,71.9512195121951,1,19.2771084337349,49,0,0
wyoming,50,2010,3,5,86.6666666666667,1,4.81927710843374,50,0.0588235294117647,0.176470588235294
alaska,1,2011,4,5.26315789473684,80.2631578947368,2,12.0481927710843,51,0,0
alabama,2,2011,5,3.40136054421769,65.3061224489796,2,9.63855421686747,52,0.0384615384615385,0.192307692307692
arkansas,3,2011,0,0,68.8524590163934,2,19.2771084337349,53,0.0294117647058824,0
arizona,4,2011,11,5.02283105022831,47.0319634703196,2,14.4578313253012,54,0.149606299212598,1.64566929133858
california,5,2011,162,9.88407565588774,59.3654667480171,2,60.2409638554217,55,0.151202749140893,24.4948453608247
colorado,6,2011,42,9.375,53.5714285714286,2,50.6024096385542,56,0.158415841584158,6.65346534653465
connecticut,7,2011,12,6.38297872340426,68.0851063829787,2,62.6506024096386,57,0.0677966101694915,0.813559322033898
delaware,8,2011,2,5.40540540540541,67.5675675675676,2,45.7831325301205,58,0.0833333333333333,0.166666666666667
florida,9,2011,37,5.9967585089141,52.0259319286872,2,16.8674698795181,59,0.122065727699531,4.51643192488263
georgia,10,2011,6,2.40963855421687,47.7911646586345,2,12.0481927710843,60,0.101123595505618,0.606741573033708
hawaii,11,2011,7,5.88235294117647,89.0756302521009,2,53.0120481927711,61,0,0
iowa,12,2011,1,0.793650793650794,78.5714285714286,2,60.2409638554217,62,0.125,0.125
idaho,13,2011,4,3.88349514563107,64.0776699029126,2,2.40963855421687,63,0.08,0.32
illinois,14,2011,41,6.42633228840125,52.5078369905956,2,57.8313253012048,64,0.113475177304965,4.65248226950355
indiana,15,2011,6,2.18978102189781,60.2189781021898,2,21.6867469879518,65,0.0491803278688525,0.295081967213115
kansas,16,2011,4,1.81818181818182,56.3636363636364,2,16.8674698795181,66,0.142857142857143,0.571428571428571
kentucky,17,2011,12,3.77358490566038,49.3710691823899,2,14.4578313253012,67,0.0769230769230769,0.923076923076923
louisiana,18,2011,4,2.7972027972028,67.8321678321678,2,14.4578313253012,68,0,0
massachusetts,19,2011,18,5.59006211180124,63.0434782608696,2,53.0120481927711,69,0.133333333333333,2.4
maryland,20,2011,22,6.30372492836676,51.2893982808023,2,40.9638554216867,70,0.109375,2.40625
maine,21,2011,10,4.69483568075117,36.6197183098592,2,53.0120481927711,71,0.264705882352941,2.64705882352941
michigan,22,2011,34,6.88259109311741,57.8947368421053,2,9.63855421686747,72,0.168224299065421,5.7196261682243
minnesota,23,2011,12,3.80952380952381,53.015873015873,2,40.9638554216867,73,0.135802469135802,1.62962962962963
missouri,24,2011,6,2.07612456747405,77.5086505190311,2,19.2771084337349,74,0.0571428571428571,0.342857142857143
