state,lgbtq_total,govt_total
alaska,17,95
alabama,16,178
arkansas,20,188
arizona,87,316
california,210,757
colorado,42,190
connecticut,47,206
delaware,9,28
florida,112,430
georgia,51,200
hawaii,8,41
iowa,10,152
idaho,54,170
illinois,46,371
indiana,31,279
kansas,10,117
kentucky,37,189
louisiana,31,118
massachusetts,74,266
maryland,81,246
maine,22,201
michigan,52,312
minnesota,31,215
missouri,47,205
mississippi,36,173
montana,21,93
north carolina,62,289
north dakota,5,33
nebraska,23,115
new hampshire,14,49
new jersey,51,264
new mexico,19,71
nevada,13,36
new york,238,756
ohio,93,524
oklahoma,24,121
oregon,28,172
pennsylvania,107,513
rhode island,6,51
south carolina,16,108
south dakota,9,51
tennessee,37,265
texas,63,316
utah,17,96
virginia,48,267
vermont,13,69
washington,51,243
wisconsin,77,362
west virginia,17,106
wyoming,9,52
