state,lgbtq_total,govt_total,lgbtq_perc,govt_fund
alaska,23,91,23,91
alabama,20,181,9.950248756218906,90.04975124378109
arkansas,49,185,18.49056603773585,69.81132075471697
arizona,140,361,32.11009174311927,82.79816513761467
california,280,736,31.818181818181817,83.63636363636363
colorado,39,188,19.306930693069308,93.06930693069307
connecticut,69,219,27.490039840637447,87.25099601593625
delaware,11,38,25.581395348837212,88.37209302325581
florida,135,458,24.725274725274726,83.88278388278388
georgia,54,202,23.580786026200872,88.20960698689956
hawaii,18,56,28.57142857142857,88.88888888888889
iowa,31,168,17.613636363636363,95.45454545454545
idaho,62,186,29.523809523809526,88.57142857142857
illinois,95,415,19.791666666666664,86.45833333333334
indiana,44,291,13.793103448275861,91.22257053291536
kansas,16,129,11.510791366906476,92.80575539568345
kentucky,37,182,18.048780487804876,88.78048780487805
louisiana,48,120,27.27272727272727,68.18181818181817
massachusetts,120,273,33.89830508474576,77.11864406779661
maryland,85,243,27.508090614886733,78.64077669902912
maine,46,195,22.00956937799043,93.30143540669856
michigan,70,301,19.718309859154928,84.78873239436619
minnesota,45,221,18.672199170124482,91.70124481327801
missouri,62,201,27.43362831858407,88.93805309734513
mississippi,49,171,23.67149758454106,82.6086956521739
montana,21,102,19.444444444444446,94.44444444444444
north carolina,92,337,23.29113924050633,85.31645569620252
north dakota,6,28,20.689655172413794,96.55172413793103
nebraska,16,106,14.035087719298245,92.98245614035088
new hampshire,17,45,26.153846153846157,69.23076923076923
new jersey,79,283,22.443181818181817,80.39772727272727
new mexico,23,62,33.82352941176471,91.17647058823529
nevada,12,35,26.08695652173913,76.08695652173914
new york,334,887,30.090090090090087,79.90990990990991
ohio,121,511,20.790378006872853,87.80068728522336
oklahoma,37,130,22.5609756097561,79.26829268292683
oregon,41,181,21.1340206185567,93.29896907216495
pennsylvania,142,528,22.362204724409448,83.14960629921259
rhode island,11,55,16.176470588235293,80.88235294117648
south carolina,26,107,19.548872180451127,80.45112781954887
south dakota,15,51,27.27272727272727,92.72727272727272
tennessee,57,272,17.75700934579439,84.73520249221184
texas,68,299,20,87.94117647058823
utah,29,103,24.369747899159663,86.5546218487395
virginia,71,294,22.468354430379748,93.0379746835443
vermont,20,78,23.52941176470588,91.76470588235294
washington,54,241,20.76923076923077,92.6923076923077
wisconsin,116,378,25.108225108225106,81.81818181818183
west virginia,24,104,20.51282051282051,88.88888888888889
wyoming,16,54,29.09090909090909,98.18181818181819
