year,mean,sd,med,min,max,skew,kurtosis
2014,61.92,62.64,45.5,6,334,2.51,7.34
2015,44.84,45.89,31,5,238,2.46,6.95
2016,30.08,30.33,20,2,150,2.32,6.19
2017,35.92,34.2,25.5,2,171,2.12,5.08
2018,41.98,40.14,27.5,3,215,2.24,6.09
2019,54.3,55.71,38,4,303,2.42,7.29
