year,mean,sd,med,min,max,skew,kurtosis
2014,22.89,5.38,22.51,9.95,33.9,-0.05,-0.25
2015,17.09,5.33,16.82,6.02,29.03,0.02,-0.47
2016,12.4,4.73,12.78,3.23,24.14,0.09,-0.44
2017,15.85,6.34,15.32,3.92,36.36,0.93,1.43
2018,17.84,5.29,17.48,6.12,32.16,0.27,-0.24
2019,20.58,6.88,20.6,8.16,42.42,0.79,1.31
