year,mean,sd,med,min,max,skew,kurtosis
2010,15.88,26.05,7,1,167,4.17,20.36
2011,14.52,24.66,6,0,162,4.38,22.82
2012,17.02,22.55,11.5,2,142,3.66,16.56
2013,33.86,49.33,20,1,333,4.51,24.23
2014,45.3,51.84,30,4,318,3.11,12.94
2015,46.86,54.46,31.5,3,336,3.22,13.53
2016,50.34,57.96,31.5,3,354,3.11,12.74
2017,50.16,57.45,33,3,355,3.16,13.4
2018,58.1,65.69,40.5,5,404,3.11,12.98
2019,71.16,87.97,44,7,575,3.83,18.8
2020,77,91.11,50,4,582,3.52,16.26
