region,state,so_gi,relational_recognition,adoption_parenting,non_discrimination,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,2/3,2/7,-0.5/4,-0.5/2,-0.5/4,--,2.5,-3.5,-1
alabama,AL,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,-2/2,2.5,-3.5,-1
alaska,AK,SO,2/3,2/7,0/4,0/2,-0.5/4,--,3.5,0,3.5
alaska,AK,GI,--,0/7,0/4,0/2,-1.5/4,1.5/2,3.5,0,3.5
arizona,AZ,SO,2/3,2.5/7,0.25/4,-0.5/2,1/4,--,5.25,-1.5,3.75
arizona,AZ,GI,--,0/7,0.25/4,-0.5/2,-1/4,-0.25/2,5.25,-1.5,3.75
arkansas,AR,SO,2/3,2.5/7,-1/4,1/2,-0.5/4,--,4,-1.5,2.5
arkansas,AR,GI,--,0/7,-1/4,1/2,-0.5/4,-1/2,4,-1.5,2.5
california,CA,SO,2.5/3,6/7,3/4,2/2,2.5/4,--,16,13.25,29.25
california,CA,GI,--,2/7,3/4,2/2,4.5/4,1.75/2,16,13.25,29.25
colorado,CO,SO,3/3,3/7,4/4,2/2,1.5/4,--,13.5,9.25,22.75
colorado,CO,GI,--,0/7,4/4,2/2,3.5/4,-0.25/2,13.5,9.25,22.75
connecticut,CT,SO,2.5/3,4/7,3.5/4,2/2,1/4,--,13,10.5,23.5
connecticut,CT,GI,--,0/7,3.5/4,2/2,3/4,2/2,13,10.5,23.5
delaware,DE,SO,2/3,3/7,3/4,0.5/2,1.5/4,--,10,5,15
delaware,DE,GI,--,0/7,3/4,0.5/2,1.5/4,0/2,10,5,15
district of columbia,NA,SO,3/3,4.5/7,3/4,2/2,3/4,--,15.5,12,27.5
district of columbia,NA,GI,--,0/7,3/4,2/2,5/4,2/2,15.5,12,27.5
florida,FL,SO,2/3,2/7,1/4,0/2,0.5/4,--,5.5,0.25,5.75
florida,FL,GI,--,0/7,1/4,0/2,-0.5/4,-0.25/2,5.5,0.25,5.75
georgia,GA,SO,2/3,2/7,0/4,0.5/2,-0.5/4,--,4,-3.5,0.5
georgia,GA,GI,--,0/7,0/4,0/2,-1.5/4,-2/2,4,-3.5,0.5
hawaii,HI,SO,2.5/3,2.5/7,3/4,1/2,1/4,--,10,5.5,15.5
hawaii,HI,GI,--,0/7,3/4,0.5/2,0/4,2/2,10,5.5,15.5
idaho,ID,SO,2/3,2.5/7,0.25/4,0/2,-0.5/4,--,4.25,-0.5,3.75
idaho,ID,GI,--,0/7,0.25/4,0/2,-0.5/4,-0.25/2,4.25,-0.5,3.75
illinois,IL,SO,2/3,2.5/7,3.5/4,2/2,2.5/4,--,12.5,8.75,21.25
illinois,IL,GI,--,0/7,3.5/4,2/2,3.5/4,-0.25/2,12.5,8.75,21.25
indiana,IN,SO,2/3,3/7,0.25/4,0/2,-0.5/4,--,4.75,0.25,5
indiana,IN,GI,--,0/7,-0.5/4,0/2,-0.5/4,1.25/2,4.75,0.25,5
iowa,IA,SO,2/3,2/7,4/4,2/2,0.5/4,--,10.5,2.5,13
iowa,IA,GI,--,0/7,4/4,2/2,-1.5/4,-2/2,10.5,2.5,13
kansas,KS,SO,2/3,3/7,-0.75/4,0/2,0.5/4,--,4.75,-0.25,4.5
kansas,KS,GI,--,0/7,-0.75/4,0/2,-0.5/4,1/2,4.75,-0.25,4.5
kentucky,KY,SO,2/3,3/7,0.25/4,0/2,0.5/4,--,5.75,-2.25,3.5
kentucky,KY,GI,--,0/7,0.25/4,0/2,-0.5/4,-2/2,5.75,-2.25,3.5
louisiana,LA,SO,2/3,2/7,-0.5/4,-0.5/2,0.5/4,--,3.5,-3.5,0
louisiana,LA,GI,--,0/7,-0.5/4,-0.5/2,-0.5/4,-2/2,3.5,-3.5,0
maine,ME,SO,3/3,4/7,4/4,2/2,2/4,--,15,6,21
