region,state,so_gi,marriage_recognition,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,1/1,1/7,0/4.5,-0.75/-1.25,-0.5/3.5,-0.5/3,--,0.25,-2.75,-2.5
alabama,AL,GI,--,0/2,0/4.5,-0.75/-0.75,-0.5/3.5,-0.5/5,-1/3,0.25,-2.75,-2.5
alaska,AK,SO,1/1,1/7,1.25/4.5,0/-1.25,0/3.5,0/3,--,3.25,1.25,4.5
alaska,AK,GI,--,0/2,0.75/4.5,0/-0.75,0/3.5,-1/5,1.5/3,3.25,1.25,4.5
arizona,AZ,SO,1/1,1.5/7,1.25/4.5,-0.25/-1.25,-0.5/3.5,1.75/3,--,4.75,-0.75,4
arizona,AZ,GI,--,0/2,0.75/4.5,-0.25/-0.75,-0.5/3.5,-0.25/5,-0.5/3,4.75,-0.75,4
arkansas,AR,SO,1/1,1.5/7,-0.5/4.5,-0.25/-1.25,1/3.5,0/3,--,2.75,-1.75,1
arkansas,AR,GI,--,0/2,-0.5/4.5,-0.25/-0.75,1/3.5,-1/5,-1/3,2.75,-1.75,1
california,CA,SO,1/1,6/7,3.5/4.5,0/-1.25,3.5/3.5,2.5/3,--,16.5,16.5,33
california,CA,GI,--,2/2,3.5/4.5,0/-0.75,3.5/3.5,4.5/5,3/3,16.5,16.5,33
colorado,CO,SO,1/1,3/7,4.5/4.5,0/-1.25,2.25/3.5,2.5/3,--,13.25,10.25,23.5
colorado,CO,GI,--,0/2,4.5/4.5,0/-0.75,2.25/3.5,4/5,-0.5/3,13.25,10.25,23.5
connecticut,CT,SO,1/1,3.5/7,4.5/4.5,-0.25/-1.25,3.25/3.5,1.75/3,--,13.75,14.25,28
connecticut,CT,GI,--,0/2,4.5/4.5,-0.25/-0.75,3.25/3.5,3.75/5,3/3,13.75,14.25,28
delaware,DE,SO,1/1,2.5/7,3.5/4.5,0/-1.25,2.25/3.5,2.5/3,--,11.75,10,21.75
delaware,DE,GI,--,0/2,3.5/4.5,0/-0.75,2/3.5,3.5/5,1/3,11.75,10,21.75
district of columbia,NA,SO,1/1,6.5/7,3.5/4.5,0/-1.25,3.25/3.5,3/3,--,17.25,16.75,34
district of columbia,NA,GI,--,2/2,3.5/4.5,0/-0.75,3.25/3.5,5/5,3/3,17.25,16.75,34
florida,FL,SO,1/1,1/7,1.5/4.5,-0.25/-1.25,0.5/3.5,1/3,--,4.75,3,7.75
florida,FL,GI,--,0/2,1.5/4.5,-0.25/-0.75,0.25/3.5,-1/5,2.5/3,4.75,3,7.75
georgia,GA,SO,1/1,1/7,0/4.5,0/-1.25,0.5/3.5,0/3,--,2.5,-4,-1.5
georgia,GA,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1/5,-3/3,2.5,-4,-1.5
hawaii,HI,SO,1/1,2/7,3.5/4.5,0/-1.25,2.75/3.5,3/3,--,12.25,13.25,25.5
hawaii,HI,GI,--,0/2,3.5/4.5,0/-0.75,2.75/3.5,5/5,2/3,12.25,13.25,25.5
idaho,ID,SO,1/1,1.5/7,0.75/4.5,-0.25/-1.25,0.25/3.5,0/3,--,3.25,0.75,4
idaho,ID,GI,--,0/2,0.75/4.5,-0.25/-0.75,0.25/3.5,-0.5/5,0.5/3,3.25,0.75,4
illinois,IL,SO,1/1,2/7,4.5/4.5,-0.5/-1.25,3.5/3.5,2.5/3,--,13,13,26
illinois,IL,GI,--,0/2,4.5/4.5,-0.5/-0.75,3.5/3.5,4/5,1.5/3,13,13,26
indiana,IN,SO,1/1,2/7,1.25/4.5,-0.25/-1.25,0.25/3.5,0.5/3,--,4.75,1.75,6.5
indiana,IN,GI,--,0/2,1.25/4.5,-0.25/-0.75,0.25/3.5,0.5/5,0/3,4.75,1.75,6.5
iowa,IA,SO,1/1,1/7,4.5/4.5,0/-1.25,2.25/3.5,1/3,--,9.75,3.75,13.5
iowa,IA,GI,--,0/2,4.5/4.5,0/-0.75,2.25/3.5,-1/5,-2/3,9.75,3.75,13.5
kansas,KS,SO,1/1,2/7,0/4.5,-0.75/-1.25,0/3.5,1/3,--,3.25,-1,2.25
kansas,KS,GI,--,0/2,0/4.5,-0.5/-0.75,0/3.5,0/5,-0.5/3,3.25,-1,2.25
kentucky,KY,SO,1/1,2/7,1.25/4.5,-0.25/-1.25,0/3.5,1.5/3,--,5.5,0.5,6
kentucky,KY,GI,--,0/2,1.25/4.5,-0.25/-0.75,0/3.5,0.5/5,-1/3,5.5,0.5,6
louisiana,LA,SO,1/1,1/7,0/4.5,-0.25/-1.25,-0.25/3.5,1.5/3,--,3,-2.25,0.75
louisiana,LA,GI,--,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,-0.5/5,-1/3,3,-2.25,0.75
maine,ME,SO,1/1,4.5/7,4.5/4.5,0/-1.25,2.25/3.5,2/3,--,14.25,6.25,20.5
maine,ME,GI,--,0/2,4.5/4.5,0/-0.75,2.25/3.5,-0.5/5,0/3,14.25,6.25,20.5
maryland,MD,SO,1/1,4.5/7,4.5/4.5,0/-1.25,2.25/3.5,1.5/3,--,13.75,11.5,25.25
maryland,MD,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,3.5/5,1.5/3,13.75,11.5,25.25
massachusetts,MA,SO,1/1,6.5/7,4.5/4.5,0/-1.25,2.25/3.5,1.75/3,--,16,12.5,28.5
massachusetts,MA,GI,--,0/2,4.5/4.5,0/-0.75,2.25/3.5,3.75/5,2/3,16,12.5,28.5
michigan,MI,SO,1/1,1/7,2.75/4.5,-0.25/-1.25,0.75/3.5,0.5/3,--,5.75,3.75,9.5
michigan,MI,GI,--,0/2,2.75/4.5,-0.25/-0.75,0.75/3.5,1/5,-0.5/3,5.75,3.75,9.5
minnesota,MN,SO,1/1,2/7,4.5/4.5,0/-1.25,2.5/3.5,2/3,--,12,12.75,24.75
minnesota,MN,GI,--,0/2,4.5/4.5,0/-0.75,2.25/3.5,4.5/5,1.5/3,12,12.75,24.75
mississippi,MS,SO,1/1,1.5/7,0/4.5,-1.25/-1.25,-0.25/3.5,-0.5/3,--,0.5,-0.5,0
mississippi,MS,GI,--,0/2,0/4.5,-0.75/-0.75,-0.25/3.5,-1/5,1.5/3,0.5,-0.5,0
missouri,MO,SO,1/1,1/7,1.25/4.5,-0.25/-1.25,-0.25/3.5,1/3,--,3.75,0,3.75
missouri,MO,GI,--,0/2,0.75/4.5,-0.25/-0.75,-0.5/3.5,0/5,0/3,3.75,0,3.75
montana,MT,SO,1/1,2/7,0.5/4.5,0/-1.25,0.25/3.5,-0.5/3,--,3.25,3.5,6.75
montana,MT,GI,--,0/2,0.5/4.5,0/-0.75,0/3.5,2/5,1/3,3.25,3.5,6.75
nebraska,NE,SO,1/1,1.5/7,0/4.5,0/-1.25,0/3.5,0.5/3,--,3,-3.5,-0.5
nebraska,NE,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-2/5,-1.5/3,3,-3.5,-0.5
nevada,NV,SO,1/1,3/7,3.5/4.5,0/-1.25,2.5/3.5,2.5/3,--,12.5,12.5,25
nevada,NV,GI,--,0/2,3.5/4.5,0/-0.75,2.5/3.5,4.5/5,2/3,12.5,12.5,25
