region,state,so_gi,marriage_recognition,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
new hampshire,NH,SO,1/1,1.5/7,3.5/4.5,0/-1.25,2.25/3.5,0.75/3,--,9,8.25,17.25
new hampshire,NH,GI,--,0/2,3.5/4.5,0/-0.75,2/3.5,1.25/5,1.5/3,9,8.25,17.25
new jersey,NJ,SO,1/1,5.5/7,4.5/4.5,0/-1.25,3.25/3.5,0.5/3,--,14.75,14.25,29
new jersey,NJ,GI,--,2/2,4.5/4.5,0/-0.75,3.25/3.5,3.5/5,1/3,14.75,14.25,29
new mexico,NM,SO,1/1,2.5/7,4.5/4.5,-0.25/-1.25,2/3.5,1.5/3,--,11.25,8.5,19.75
new mexico,NM,GI,--,0/2,4.5/4.5,-0.25/-0.75,1.25/3.5,3/5,0/3,11.25,8.5,19.75
new york,NY,SO,1/1,5.5/7,4.5/4.5,0/-1.25,2.5/3.5,2.5/3,--,16,10,26
new york,NY,GI,--,0/2,3.25/4.5,0/-0.75,2.25/3.5,3/5,1.5/3,16,10,26
north carolina,NC,SO,1/1,1.5/7,0/4.5,-0.25/-1.25,1/3.5,0.5/3,--,3.75,-1.5,2.25
north carolina,NC,GI,--,0/2,0/4.5,0/-0.75,1/3.5,-0.5/5,-2/3,3.75,-1.5,2.25
north dakota,ND,SO,1/1,1.5/7,0/4.5,-0.25/-1.25,0.25/3.5,0/3,--,2.5,-2.25,0.25
north dakota,ND,GI,--,0/2,0/4.5,-0.25/-0.75,0/3.5,-1/5,-1/3,2.5,-2.25,0.25
ohio,OH,SO,1/1,1.5/7,1.25/4.5,0/-1.25,0.25/3.5,0/3,--,4,-0.75,3.25
ohio,OH,GI,--,0/2,1.25/4.5,0/-0.75,0/3.5,-1.5/5,-0.5/3,4,-0.75,3.25
oklahoma,OK,SO,1/1,2.5/7,0/4.5,-0.5/-1.25,-0.5/3.5,0/3,--,2.5,-2.5,0
oklahoma,OK,GI,--,0/2,0/4.5,-0.5/-0.75,-0.5/3.5,-0.5/5,-1/3,2.5,-2.5,0
oregon,OR,SO,1/1,4.5/7,3.5/4.5,0/-1.25,3.25/3.5,2.25/3,--,14.5,14.25,28.75
oregon,OR,GI,--,0/2,3.5/4.5,0/-0.75,3/3.5,4.75/5,3/3,14.5,14.25,28.75
pennsylvania,PA,SO,1/1,2/7,2.75/4.5,-0.25/-1.25,1.25/3.5,0.5/3,--,7.25,7.5,14.75
pennsylvania,PA,GI,--,0/2,2.75/4.5,-0.25/-0.75,0.5/3.5,2.5/5,2/3,7.25,7.5,14.75
rhode island,RI,SO,1/1,5/7,4.5/4.5,-0.25/-1.25,2.5/3.5,3/3,--,15.75,14.5,30.25
rhode island,RI,GI,--,2/2,4.5/4.5,-0.25/-0.75,2.25/3.5,5/5,1/3,15.75,14.5,30.25
south carolina,SC,SO,1/1,1.5/7,0/4.5,-0.5/-1.25,-0.5/3.5,-0.5/3,--,1,-1.5,-0.5
south carolina,SC,GI,--,0/2,0/4.5,-0.5/-0.75,-0.5/3.5,-0.5/5,0/3,1,-1.5,-0.5
south dakota,SD,SO,1/1,1/7,0/4.5,-0.25/-1.25,-0.25/3.5,-0.5/3,--,1,-1.5,-0.5
south dakota,SD,GI,--,0/2,0/4.5,-0.25/-0.75,-0.25/3.5,-0.5/5,-0.5/3,1,-1.5,-0.5
tennessee,TN,SO,1/1,1.5/7,-0.5/4.5,-0.5/-1.25,0.25/3.5,0.5/3,--,2.25,-3.75,-1.5
tennessee,TN,GI,--,0/2,-0.5/4.5,-0.5/-0.75,0.25/3.5,-2/5,-1/3,2.25,-3.75,-1.5
texas,TX,SO,1/1,1.5/7,0.5/4.5,-0.5/-1.25,-0.5/3.5,1.75/3,--,3.75,-0.25,3.5
texas,TX,GI,--,0/2,0.5/4.5,-0.5/-0.75,-0.5/3.5,0.25/5,0/3,3.75,-0.25,3.5
utah,UT,SO,1/1,1/7,2.5/4.5,0/-1.25,0.75/3.5,0/3,--,5.25,3.75,9
utah,UT,GI,--,0/2,2.5/4.5,0/-0.75,0.25/3.5,0/5,1/3,5.25,3.75,9
vermont,VT,SO,1/1,2.5/7,4.5/4.5,0/-1.25,3.25/3.5,2.5/3,--,13.75,13.75,27.5
vermont,VT,GI,--,0/2,4.5/4.5,0/-0.75,3.25/3.5,4/5,2/3,13.75,13.75,27.5
virginia,VA,SO,1/1,1/7,0.5/4.5,-0.5/-1.25,0/3.5,0/3,--,2,1,3
virginia,VA,GI,--,0/2,0.5/4.5,-0.5/-0.75,0/3.5,0/5,1/3,2,1,3
washington,WA,SO,1/1,3.5/7,4.5/4.5,0/-1.25,3.25/3.5,2/3,--,14.25,15.25,29.5
washington,WA,GI,--,0/2,4.5/4.5,0/-0.75,3.25/3.5,4.5/5,3/3,14.25,15.25,29.5
west virginia,WV,SO,1/1,1.5/7,0/4.5,0/-1.25,1/3.5,0.5/3,--,4,-0.5,3.5
west virginia,WV,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-0.5/5,0/3,4,-0.5,3.5
wisconsin,WI,SO,1/1,4/7,3.5/4.5,0/-1.25,1.25/3.5,1/3,--,10.75,-1,9.75
wisconsin,WI,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-0.5/5,-0.5/3,10.75,-1,9.75
wyoming,WY,SO,1/1,1.5/7,0/4.5,0/-1.25,0.25/3.5,0.5/3,--,3.25,-2.5,0.75
wyoming,WY,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1/5,-1.5/3,3.25,-2.5,0.75
