region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
alabama,AL,SO,2/8,0/4.5,-0.75/-1.25,-0.5/3.5,0/2,-0.5/2,--,0.25,-2.75,-2.5
alabama,AL,GI,0/2,0/4.5,-0.75/-0.75,-0.5/3.5,0/4.5,-0.5/2,-1/4,0.25,-2.75,-2.5
alaska,AK,SO,2/8,1.25/4.5,0/-1.25,0/3.5,0/2,-0.5/2,--,2.75,1,3.75
alaska,AK,GI,0/2,0.75/4.5,0/-0.75,0/3.5,-1/4.5,-0.5/2,1.75/4,2.75,1,3.75
american samoa,NA,SO,2/8,0/4.5,0/-1.25,0/3.5,0/2,0/2,--,2,0,2
american samoa,NA,GI,0/2,0/4.5,0/-0.75,0/3.5,0/4.5,0/2,0/4,2,0,2
arizona,AZ,SO,2.5/8,1.25/4.5,-0.25/-1.25,0/3.5,1/2,0.75/2,--,5.25,-0.5,4.75
arizona,AZ,GI,0/2,0.75/4.5,-0.25/-0.75,0/3.5,0/4.5,-0.25/2,-0.75/4,5.25,-0.5,4.75
arkansas,AR,SO,2.5/8,-0.5/4.5,-0.25/-1.25,1/3.5,0.5/2,-0.5/2,--,2.75,-0.75,2
arkansas,AR,GI,0/2,-0.5/4.5,-0.25/-0.75,1/3.5,-0.5/4.5,-0.5/2,0/4,2.75,-0.75,2
california,CA,SO,7/8,3.5/4.5,0/-1.25,3.5/3.5,2/2,1.5/2,--,17.5,18.5,36
california,CA,GI,2/2,3.5/4.5,0/-0.75,3.5/3.5,4/4.5,1.5/2,4/4,17.5,18.5,36
colorado,CO,SO,4/8,4.5/4.5,0/-1.25,3.25/3.5,1.5/2,0.75/2,--,14,14.75,28.75
colorado,CO,GI,0/2,4.5/4.5,0/-0.75,3.25/3.5,3.5/4.5,0.75/2,2.75/4,14,14.75,28.75
connecticut,CT,SO,5/8,4.5/4.5,-0.25/-1.25,3.25/3.5,1/2,1.75/2,--,15.25,15,30.25
connecticut,CT,GI,0/2,4.5/4.5,-0.25/-0.75,3.25/3.5,3/4.5,1.75/2,2.75/4,15.25,15,30.25
delaware,DE,SO,3.5/8,3.5/4.5,0/-1.25,2.25/3.5,2/2,0.5/2,--,11.75,10.25,22
delaware,DE,GI,0/2,3.5/4.5,0/-0.75,2/3.5,3.5/4.5,0.5/2,0.75/4,11.75,10.25,22
district of columbia,NA,SO,7.5/8,3.5/4.5,0/-1.25,3.25/3.5,2/2,1/2,--,17.25,18.25,35.5
district of columbia,NA,GI,2/2,3.5/4.5,0/-0.75,3.25/3.5,4.5/4.5,1/2,4/4,17.25,18.25,35.5
florida,FL,SO,2/8,1.5/4.5,-0.25/-1.25,0.5/3.5,1/2,0.5/2,--,5.25,3.25,8.5
florida,FL,GI,0/2,1.5/4.5,-0.25/-0.75,0.25/3.5,0/4.5,-0.5/2,2.25/4,5.25,3.25,8.5
georgia,GA,SO,2/8,0/4.5,0/-1.25,0.5/3.5,1/2,-0.5/2,--,3,-4,-1
georgia,GA,GI,0/2,0/4.5,0/-0.75,0/3.5,-0.5/4.5,-0.5/2,-3/4,3,-4,-1
guam,NA,SO,5/8,1.5/4.5,0/-1.25,1/3.5,1/2,-0.5/2,--,8,-0.5,7.5
guam,NA,GI,1/2,1.5/4.5,0/-0.75,0/3.5,0.5/4.5,-0.5/2,-3/4,8,-0.5,7.5
hawaii,HI,SO,3/8,3.5/4.5,0/-1.25,2.75/3.5,2/2,2/2,--,13.25,15.5,28.75
hawaii,HI,GI,0/2,3.5/4.5,0/-0.75,2.75/3.5,4.5/4.5,2/2,2.75/4,13.25,15.5,28.75
idaho,ID,SO,2.5/8,0.75/4.5,-0.25/-1.25,0.25/3.5,0/2,-0.5/2,--,2.75,0,2.75
idaho,ID,GI,0/2,0.75/4.5,-0.25/-0.75,0.25/3.5,-0.5/4.5,-0.5/2,0.25/4,2.75,0,2.75
illinois,IL,SO,3/8,4.5/4.5,-0.5/-1.25,3.5/3.5,2/2,1.5/2,--,14,13.75,27.75
illinois,IL,GI,0/2,4.5/4.5,-0.5/-0.75,3.5/3.5,3.5/4.5,1.5/2,1.25/4,14,13.75,27.75
indiana,IN,SO,3/8,1.25/4.5,-0.25/-1.25,0.25/3.5,1/2,0.5/2,--,5.75,2.75,8.5
indiana,IN,GI,0/2,1.25/4.5,-0.25/-0.75,0.25/3.5,1/4.5,-0.5/2,1/4,5.75,2.75,8.5
iowa,IA,SO,2/8,4.5/4.5,0/-1.25,2.25/3.5,1/2,0.5/2,--,10.25,4.75,15
iowa,IA,GI,0/2,4.5/4.5,0/-0.75,2.25/3.5,0.5/4.5,-0.5/2,-2/4,10.25,4.75,15
kansas,KS,SO,3/8,0.5/4.5,-0.75/-1.25,0/3.5,0/2,0.5/2,--,3.25,0.75,4
kansas,KS,GI,0/2,0.5/4.5,-0.5/-0.75,0/3.5,0/4.5,-0.5/2,1.25/4,3.25,0.75,4
kentucky,KY,SO,3/8,1.25/4.5,-0.25/-1.25,0/3.5,1/2,0.5/2,--,5.5,0.5,6
kentucky,KY,GI,0/2,1.25/4.5,-0.25/-0.75,0/3.5,1/4.5,-0.5/2,-1/4,5.5,0.5,6
louisiana,LA,SO,2/8,0/4.5,-0.25/-1.25,-0.25/3.5,0.5/2,0.5/2,--,2.5,-2.25,0.25
