region,state,so_gi,marriage_recognition,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
michigan,MI,GI,--,0/2,0.5/4.5,-0.25/-0.75,0/3.5,1/5,-0.5/3,2.75,0.75,3.5
minnesota,MN,SO,1/1,2/7,4.5/4.5,0/-1.25,2/3.5,2/3,--,11.5,10.5,22
minnesota,MN,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,2.5/5,1.5/3,11.5,10.5,22
mississippi,MS,SO,1/1,1.5/7,0/4.5,-1.25/-1.25,-0.5/3.5,-0.5/3,--,0.25,-0.75,-0.5
mississippi,MS,GI,--,0/2,0/4.5,-0.75/-0.75,-0.5/3.5,-1/5,1.5/3,0.25,-0.75,-0.5
missouri,MO,SO,1/1,1/7,1.25/4.5,-0.25/-1.25,-0.5/3.5,1/3,--,3.5,0,3.5
missouri,MO,GI,--,0/2,0.75/4.5,-0.25/-0.75,-0.5/3.5,0/5,0/3,3.5,0,3.5
montana,MT,SO,1/1,2/7,0.5/4.5,0/-1.25,0/3.5,-0.5/3,--,3,-0.5,2.5
montana,MT,GI,--,0/2,0.5/4.5,0/-0.75,0/3.5,1/5,-2/3,3,-0.5,2.5
nebraska,NE,SO,1/1,1.5/7,0/4.5,0/-1.25,0/3.5,0.5/3,--,3,-3.5,-0.5
nebraska,NE,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-2/5,-1.5/3,3,-3.5,-0.5
nevada,NV,SO,1/1,2.5/7,3.5/4.5,0/-1.25,2.5/3.5,2.5/3,--,12,10,22
nevada,NV,GI,--,0/2,3.5/4.5,0/-0.75,2.5/3.5,2.5/5,1.5/3,12,10,22
new hampshire,NH,SO,1/1,1/7,3.5/4.5,0/-1.25,1/3.5,0.75/3,--,7.25,1.75,9
new hampshire,NH,GI,--,0/2,0/4.5,0/-0.75,1/3.5,-0.75/5,1.5/3,7.25,1.75,9
new jersey,NJ,SO,1/1,5.5/7,4.5/4.5,0/-1.25,3/3.5,1.5/3,--,15.5,11.5,27
new jersey,NJ,GI,--,2/2,4.5/4.5,0/-0.75,3/3.5,3/5,-1/3,15.5,11.5,27
new mexico,NM,SO,1/1,2.5/7,4.5/4.5,-0.25/-1.25,2/3.5,1.5/3,--,11.25,6.25,17.5
new mexico,NM,GI,--,0/2,4.5/4.5,-0.25/-0.75,1/3.5,1/5,0/3,11.25,6.25,17.5
new york,NY,SO,1/1,5.5/7,4.5/4.5,0/-1.25,2/3.5,2.5/3,--,15.5,10,25.5
new york,NY,GI,--,0/2,3.5/4.5,0/-0.75,2/3.5,3/5,1.5/3,15.5,10,25.5
north carolina,NC,SO,1/1,1.5/7,0.5/4.5,-0.25/-1.25,1/3.5,0.5/3,--,4.25,0,4.25
north carolina,NC,GI,--,0/2,0.5/4.5,0/-0.75,1/3.5,0.5/5,-2/3,4.25,0,4.25
north dakota,ND,SO,1/1,1/7,0/4.5,-0.25/-1.25,0/3.5,0/3,--,1.75,-1.25,0.5
north dakota,ND,GI,--,0/2,0/4.5,-0.25/-0.75,0/3.5,0/5,-1/3,1.75,-1.25,0.5
ohio,OH,SO,1/1,1.5/7,0.5/4.5,0/-1.25,0/3.5,0/3,--,3,-0.5,2.5
ohio,OH,GI,--,0/2,0.5/4.5,0/-0.75,0/3.5,-0.5/5,-0.5/3,3,-0.5,2.5
oklahoma,OK,SO,1/1,2.5/7,0/4.5,-0.25/-1.25,-0.5/3.5,0/3,--,2.75,-2.25,0.5
oklahoma,OK,GI,--,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,-0.5/5,-1/3,2.75,-2.25,0.5
oregon,OR,SO,1/1,4.5/7,3.5/4.5,0/-1.25,3/3.5,2.25/3,--,14.25,14.25,28.5
oregon,OR,GI,--,0/2,3.5/4.5,0/-0.75,3/3.5,4.75/5,3/3,14.25,14.25,28.5
pennsylvania,PA,SO,1/1,2/7,1.25/4.5,-0.25/-1.25,1/3.5,0.5/3,--,5.5,5.5,11
pennsylvania,PA,GI,--,0/2,1.25/4.5,-0.25/-0.75,0/3.5,2.5/5,2/3,5.5,5.5,11
rhode island,RI,SO,1/1,5/7,4.5/4.5,-0.25/-1.25,2/3.5,3/3,--,15.25,14.25,29.5
rhode island,RI,GI,--,2/2,4.5/4.5,-0.25/-0.75,2/3.5,5/5,1/3,15.25,14.25,29.5
south carolina,SC,SO,1/1,1.5/7,0/4.5,-0.25/-1.25,-0.5/3.5,-0.5/3,--,1.25,-1.25,0
south carolina,SC,GI,--,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,-0.5/5,0/3,1.25,-1.25,0
south dakota,SD,SO,1/1,1/7,0/4.5,-0.25/-1.25,-0.5/3.5,-0.5/3,--,0.75,-1.75,-1
south dakota,SD,GI,--,0/2,0/4.5,-0.25/-0.75,-0.5/3.5,-0.5/5,-0.5/3,0.75,-1.75,-1
tennessee,TN,SO,1/1,1.5/7,-0.5/4.5,-0.5/-1.25,0/3.5,0.5/3,--,2,-4,-2
tennessee,TN,GI,--,0/2,-0.5/4.5,-0.5/-0.75,0/3.5,-2/5,-1/3,2,-4,-2
texas,TX,SO,1/1,1.5/7,0.5/4.5,-0.5/-1.25,-0.5/3.5,1.75/3,--,3.75,-0.25,3.5
texas,TX,GI,--,0/2,0.5/4.5,-0.5/-0.75,-0.5/3.5,0.25/5,0/3,3.75,-0.25,3.5
utah,UT,SO,1/1,1/7,2.5/4.5,-0.25/-1.25,1.5/3.5,0/3,--,5.75,4,9.75
utah,UT,GI,--,0/2,2.5/4.5,0/-0.75,0.5/3.5,0/5,1/3,5.75,4,9.75
vermont,VT,SO,1/1,2.5/7,4.5/4.5,0/-1.25,3/3.5,2.5/3,--,13.5,13.5,27
vermont,VT,GI,--,0/2,4.5/4.5,0/-0.75,3/3.5,4/5,2/3,13.5,13.5,27
virginia,VA,SO,1/1,1/7,0.5/4.5,-0.5/-1.25,0/3.5,0/3,--,2,0.5,2.5
virginia,VA,GI,--,0/2,0.5/4.5,-0.5/-0.75,0/3.5,-0.5/5,1/3,2,0.5,2.5
washington,WA,SO,1/1,3.5/7,4.5/4.5,0/-1.25,2/3.5,2/3,--,13,14,27
washington,WA,GI,--,0/2,4.5/4.5,0/-0.75,2/3.5,4.5/5,3/3,13,14,27
west virginia,WV,SO,1/1,1.5/7,0/4.5,0/-1.25,0.5/3.5,0.5/3,--,3.5,-1.5,2
west virginia,WV,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1.5/5,0/3,3.5,-1.5,2
wisconsin,WI,SO,1/1,4/7,3.5/4.5,0/-1.25,1/3.5,1/3,--,10.5,-2,8.5
wisconsin,WI,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1.5/5,-0.5/3,10.5,-2,8.5
wyoming,WY,SO,1/1,1/7,0/4.5,0/-1.25,0/3.5,0.5/3,--,2.5,-2.5,0
wyoming,WY,GI,--,0/2,0/4.5,0/-0.75,0/3.5,-1/5,-1.5/3,2.5,-2.5,0
