region,state,so_gi,relational_recognition,non_discrimination,religious_exemption,lgbt_youth,healthcare,criminal_justic,identity_docs,so_policy_total,gi_policy_total,overall_policy_total
georgia,GA,SO,1.5/6,0/4.5,0/-3.5,0/4,1/2,0.5/2,--,3,-3,0
georgia,GA,GI,0/1,0/4.5,0/-2.5,0/4,-0.5/4.5,0.5/2,-3/4,3,-3,0
guam,NA,SO,3.25/6,1.5/4.5,0/-3.5,1/4,1/2,-0.25/2,--,6.5,-0.75,5.75
guam,NA,GI,0.5/1,1.5/4.5,0/-2.5,0/4,0.5/4.5,-0.25/2,-3/4,6.5,-0.75,5.75
hawaii,HI,SO,3/6,3.5/4.5,0/-3.5,3/4,2/2,2/2,--,13.5,16.25,29.75
hawaii,HI,GI,1/1,3.5/4.5,0/-2.5,3/4,4.5/4.5,2/2,2.25/4,13.5,16.25,29.75
idaho,ID,SO,2.5/6,0.75/4.5,-0.5/-3.5,0.5/4,0/2,-0.5/2,--,2.75,0,2.75
idaho,ID,GI,0/1,0.75/4.5,-0.5/-2.5,0.5/4,-0.5/4.5,-0.5/2,0.25/4,2.75,0,2.75
illinois,IL,SO,4/6,4.5/4.5,-1.5/-3.5,4/4,2/2,1.5/2,--,14.5,15.5,30
illinois,IL,GI,1/1,4.5/4.5,-1.5/-2.5,4/4,3.5/4.5,1.5/2,2.5/4,14.5,15.5,30
indiana,IN,SO,4/6,1.25/4.5,-0.5/-3.5,0.5/4,1/2,0/2,--,6.25,1.25,7.5
indiana,IN,GI,0/1,1.25/4.5,-0.5/-2.5,0.5/4,1/4.5,-1/2,0/4,6.25,1.25,7.5
iowa,IA,SO,2.5/6,4.5/4.5,0/-3.5,2.5/4,1/2,0.5/2,--,11,6,17
iowa,IA,GI,1/1,4.5/4.5,0/-2.5,2.5/4,0.5/4.5,-0.5/2,-2/4,11,6,17
kansas,KS,SO,2.5/6,2.75/4.5,-2/-3.5,0/4,0/2,1/2,--,4.25,2.5,6.75
kansas,KS,GI,0/1,2.75/4.5,-1.5/-2.5,0/4,0/4.5,0/2,1.25/4,4.25,2.5,6.75
kentucky,KY,SO,3.25/6,1.25/4.5,-0.5/-3.5,0.5/4,1/2,0.5/2,--,6,1.75,7.75
kentucky,KY,GI,1/1,1.25/4.5,-0.5/-2.5,0.5/4,1/4.5,-0.5/2,-1/4,6,1.75,7.75
louisiana,LA,SO,1.5/6,0/4.5,-0.5/-3.5,-0.5/4,0.5/2,0/2,--,1,-3.5,-2.5
louisiana,LA,GI,0/1,0/4.5,-0.5/-2.5,-1/4,0/4.5,-1/2,-1/4,1,-3.5,-2.5
maine,ME,SO,6/6,4.5/4.5,0/-3.5,3.5/4,1.5/2,2/2,--,17.5,17.5,35
maine,ME,GI,1/1,4.5/4.5,0/-2.5,3.5/4,3.5/4.5,2/2,3/4,17.5,17.5,35
maryland,MD,SO,3.75/6,3.5/4.5,0/-3.5,3.5/4,1/2,0.5/2,--,12.25,14.5,26.75
maryland,MD,GI,1/1,3.5/4.5,0/-2.5,3.5/4,3.5/4.5,0.5/2,2.5/4,12.25,14.5,26.75
massachusetts,MA,SO,5.5/6,4.5/4.5,0/-3.5,3.5/4,1/2,0.75/2,--,15.25,17.25,32.5
massachusetts,MA,GI,1/1,4.5/4.5,0/-2.5,4/4,4.5/4.5,0.75/2,2.5/4,15.25,17.25,32.5
michigan,MI,SO,2.5/6,2.75/4.5,-1/-3.5,1.25/4,1.5/2,-0.5/2,--,6.5,7,13.5
michigan,MI,GI,1/1,2.75/4.5,-1/-2.5,1.25/4,3.5/4.5,-0.5/2,0/4,6.5,7,13.5
minnesota,MN,SO,3.5/6,4.5/4.5,0/-3.5,3/4,1.5/2,1/2,--,13.5,16.5,30
minnesota,MN,GI,1/1,4.5/4.5,0/-2.5,2.5/4,4/4.5,1/2,3.5/4,13.5,16.5,30
mississippi,MS,SO,2/6,0/4.5,-3.5/-3.5,-0.5/4,1/2,-0.5/2,--,-1.5,-2,-3.5
mississippi,MS,GI,0/1,0/4.5,-2.5/-2.5,-0.5/4,0/4.5,-0.5/2,1.5/4,-1.5,-2,-3.5
missouri,MO,SO,2.5/6,1/4.5,-0.5/-3.5,-0.5/4,0.5/2,0.5/2,--,3.5,-2.25,1.25
missouri,MO,GI,0/1,0.5/4.5,-0.5/-2.5,-1/4,-0.5/4.5,0.5/2,-1.25/4,3.5,-2.25,1.25
montana,MT,SO,4/6,0.5/4.5,0/-3.5,0.5/4,0.5/2,-0.5/2,--,5,4,9
montana,MT,GI,0/1,0.5/4.5,0/-2.5,0/4,3/4.5,-0.5/2,1/4,5,4,9
nebraska,NE,SO,2/6,1.5/4.5,0/-3.5,0/4,0.5/2,0.5/2,--,4.5,-2,2.5
nebraska,NE,GI,0/1,1.5/4.5,0/-2.5,0/4,-1.5/4.5,-0.5/2,-1.5/4,4.5,-2,2.5
nevada,NV,SO,3.5/6,4.5/4.5,0/-3.5,4/4,2/2,1.5/2,--,15.5,19,34.5
nevada,NV,GI,1/1,4.5/4.5,0/-2.5,4/4,4/4.5,1.5/2,4/4,15.5,19,34.5
