"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"57","connecticut",7,2011,68.0851063829787,6.38297872340426,0.432744320230797,12,188,128,0.0677966101694915,0.813559322033898,2,233.122883492803,62.6506024096386,57
"58","delaware",8,2011,67.5675675675676,5.40540540540541,0.45045045045045,2,37,25,0.0833333333333333,0.166666666666667,2,167.172252972464,45.7831325301205,58
"59","florida",9,2011,52.0259319286872,5.9967585089141,0.731998691228951,37,617,321,0.122065727699531,4.51643192488263,2,338.704255029715,16.8674698795181,59
"60","georgia",10,2011,47.7911646586345,2.40963855421687,0.243671314471369,6,249,119,0.101123595505618,0.606741573033708,2,267.139638119549,12.0481927710843,60
"61","hawaii",11,2011,89.0756302521009,5.88235294117647,0,7,119,106,0,0,2,243.072318399792,53.0120481927711,61
"62","iowa",12,2011,78.5714285714286,0.793650793650794,0.0992063492063492,1,126,99,0.125,0.125,2,325.532722654402,60.2409638554217,62
"63","idaho",13,2011,64.0776699029126,3.88349514563107,0.310679611650485,4,103,66,0.08,0.32,2,219.025785131136,2.40963855421687,63
"64","illinois",14,2011,52.5078369905956,6.42633228840125,0.729229195846951,41,638,335,0.113475177304965,4.65248226950355,2,358.41471602421,57.8313253012048,64
"65","indiana",15,2011,60.2189781021898,2.18978102189781,0.107694148617925,6,274,165,0.0491803278688525,0.295081967213115,2,291.040070987429,21.6867469879518,65
"66","kansas",16,2011,56.3636363636364,1.81818181818182,0.25974025974026,4,220,124,0.142857142857143,0.571428571428571,2,267.581041211669,16.8674698795181,66
"67","kentucky",17,2011,49.3710691823899,3.77358490566038,0.290275761973875,12,318,157,0.0769230769230769,0.923076923076923,2,253.152953438798,14.4578313253012,67
"68","louisiana",18,2011,67.8321678321678,2.7972027972028,0,4,143,97,0,0,2,321.835594137972,14.4578313253012,68
"69","massachusetts",19,2011,63.0434782608696,5.59006211180124,0.745341614906832,18,322,203,0.133333333333333,2.4,2,322.750219088175,53.0120481927711,69
"70","maryland",20,2011,51.2893982808023,6.30372492836676,0.689469914040115,22,349,179,0.109375,2.40625,2,288.734579178126,40.9638554216867,70
"71","maine",21,2011,36.6197183098592,4.69483568075117,1.24275062137531,10,213,78,0.264705882352941,2.64705882352941,2,295.188747386682,53.0120481927711,71
"72","michigan",22,2011,57.8947368421053,6.88259109311741,1.15781906239358,34,494,286,0.168224299065421,5.7196261682243,2,363.401776666488,9.63855421686747,72
"73","minnesota",23,2011,53.015873015873,3.80952380952381,0.517342739564962,12,315,167,0.135802469135802,1.62962962962963,2,336.39735248819,40.9638554216867,73
"74","missouri",24,2011,77.5086505190311,2.07612456747405,0.118635689569946,6,289,224,0.0571428571428571,0.342857142857143,2,358.26286155443,19.2771084337349,74
"75","mississippi",25,2011,68.3673469387755,0,0,0,98,67,0.136363636363636,0,2,252.565213523475,7.2289156626506,75
"76","montana",26,2011,85.9649122807018,1.75438596491228,0.0797448165869219,1,57,49,0.0454545454545455,0.0454545454545455,2,221.771218557061,12.0481927710843,76
"77","north carolina",27,2011,44.0366972477064,4.35779816513761,0.282667989090007,19,436,192,0.0648648648648649,1.23243243243243,2,257.818370762373,14.4578313253012,77
"78","north dakota",28,2011,43.1034482758621,3.44827586206897,0.862068965517241,2,58,25,0.25,0.5,2,282.060800743785,12.0481927710843,78
"79","nebraska",29,2011,81.3008130081301,3.2520325203252,1.19811724433034,4,123,100,0.368421052631579,1.47368421052632,2,73.7335617847252,14.4578313253012,79
"80","new hampshire",30,2011,62.962962962963,1.85185185185185,0,1,54,34,0,0,2,384.949701908963,55.421686746988,80
"81","new jersey",31,2011,59.2797783933518,6.37119113573407,0.632255608889641,23,361,214,0.099236641221374,2.2824427480916,2,341.340727360571,62.6506024096386,81
