"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"1","alaska",1,2010,83.1168831168831,2.5974025974026,0,2,77,64,0,0,1,267.604208850223,14.4578313253012,1
"2","alabama",2,2010,63.768115942029,2.89855072463768,0.111482720178372,4,138,88,0.0384615384615385,0.153846153846154,1,324.556219722075,7.2289156626506,2
"3","arkansas",3,2010,75.8064516129032,8.06451612903226,0.23719165085389,5,62,47,0.0294117647058824,0.147058823529412,1,214.384821945403,14.4578313253012,3
"4","arizona",4,2010,42.9906542056075,3.73831775700935,0.55927588490691,8,214,92,0.149606299212598,1.19685039370079,1,197.594178631333,16.8674698795181,4
"5","california",5,2010,60.3936039360394,10.2706027060271,1.55294336448519,167,1626,982,0.151202749140893,25.2508591065292,1,827.965113877308,36.144578313253,5
"6","colorado",6,2010,50.5720823798627,10.0686498855835,1.59503364524095,44,437,221,0.158415841584158,6.97029702970297,1,251.574707836043,36.144578313253,6
"7","connecticut",7,2010,71.2820512820513,2.05128205128205,0.139069969578444,4,195,139,0.0677966101694915,0.271186440677966,1,293.99699672346,31.3253012048193,7
"8","delaware",8,2010,67.5675675675676,5.40540540540541,0.45045045045045,2,37,25,0.0833333333333333,0.166666666666667,1,151.663941008989,26.5060240963855,8
"9","florida",9,2010,51.7706576728499,6.57672849915683,0.80279315013182,39,593,307,0.122065727699531,4.76056338028169,1,315.474345372394,12.0481927710843,9
"10","georgia",10,2010,46.9135802469136,2.46913580246914,0.249687890137328,6,243,114,0.101123595505618,0.606741573033708,1,216.337839753676,12.0481927710843,10
"11","hawaii",11,2010,87.3949579831933,2.52100840336134,0,3,119,104,0,0,1,274.273653624322,33.7349397590361,11
"12","iowa",12,2010,76,0.8,0.1,1,125,95,0.125,0.125,1,184.238647185436,43.3734939759036,12
"13","idaho",13,2010,67.741935483871,3.2258064516129,0.258064516129032,3,93,63,0.08,0.24,1,253.973471171461,4.81927710843374,13
"14","illinois",14,2010,53.960396039604,6.6006600660066,0.749011071319898,40,606,327,0.113475177304965,4.53900709219858,1,343.45888067844,36.144578313253,14
"15","indiana",15,2010,63.003663003663,3.66300366300366,0.180147721131328,10,273,172,0.0491803278688525,0.491803278688525,1,262.035434801516,14.4578313253012,15
"16","kansas",16,2010,55.9241706161137,5.21327014218009,0.744752877454299,11,211,118,0.142857142857143,1.57142857142857,1,206.798038523974,9.63855421686747,16
"17","kentucky",17,2010,51.877133105802,3.7542662116041,0.28878970858493,11,293,152,0.0769230769230769,0.846153846153846,1,275.870969568298,14.4578313253012,17
