"","region","case_state","year","govt_fund","lgbtq_perc","lgbtq_perc_actual","lgbtq_total","n","govt_total","perc_confirmed","lgbtq_actual","t","n_facility","state_policy","temp_id"
"1","alaska",1,2010,83.1168831168831,2.5974025974026,0,2,77,64,0,0,1,227.906990253526,14.4578313253012,1
"2","alabama",2,2010,63.768115942029,2.89855072463768,0.111482720178372,4,138,88,0.0384615384615385,0.153846153846154,1,213.150868072622,7.2289156626506,2
"3","arkansas",3,2010,75.8064516129032,8.06451612903226,0.23719165085389,5,62,47,0.0294117647058824,0.147058823529412,1,181.346156458582,14.4578313253012,3
"4","arizona",4,2010,42.9906542056075,3.73831775700935,0.55927588490691,8,214,92,0.149606299212598,1.19685039370079,1,178.744128163684,16.8674698795181,4
"5","california",5,2010,60.3936039360394,10.2706027060271,1.55294336448519,167,1626,982,0.151202749140893,25.2508591065292,1,884.923855664824,36.144578313253,5
"6","colorado",6,2010,50.5720823798627,10.0686498855835,1.59503364524095,44,437,221,0.158415841584158,6.97029702970297,1,288.137364310335,36.144578313253,6
"7","connecticut",7,2010,71.2820512820513,2.05128205128205,0.139069969578444,4,195,139,0.0677966101694915,0.271186440677966,1,234.569877404604,31.3253012048193,7
"8","delaware",8,2010,67.5675675675676,5.40540540540541,0.45045045045045,2,37,25,0.0833333333333333,0.166666666666667,1,221.234852168752,26.5060240963855,8
"9","florida",9,2010,51.7706576728499,6.57672849915683,0.80279315013182,39,593,307,0.122065727699531,4.76056338028169,1,245.8691766299,12.0481927710843,9
"10","georgia",10,2010,46.9135802469136,2.46913580246914,0.249687890137328,6,243,114,0.101123595505618,0.606741573033708,1,220.740607003009,12.0481927710843,10
"11","hawaii",11,2010,87.3949579831933,2.52100840336134,0,3,119,104,0,0,1,216.33885500571,33.7349397590361,11
"12","iowa",12,2010,76,0.8,0.1,1,125,95,0.125,0.125,1,151.949422901989,43.3734939759036,12
"13","idaho",13,2010,67.741935483871,3.2258064516129,0.258064516129032,3,93,63,0.08,0.24,1,106.893713249939,4.81927710843374,13
"14","illinois",14,2010,53.960396039604,6.6006600660066,0.749011071319898,40,606,327,0.113475177304965,4.53900709219858,1,291.24847233956,36.144578313253,14
"15","indiana",15,2010,63.003663003663,3.66300366300366,0.180147721131328,10,273,172,0.0491803278688525,0.491803278688525,1,195.110532756739,14.4578313253012,15
"16","kansas",16,2010,55.9241706161137,5.21327014218009,0.744752877454299,11,211,118,0.142857142857143,1.57142857142857,1,234.091631799351,9.63855421686747,16
"17","kentucky",17,2010,51.877133105802,3.7542662116041,0.28878970858493,11,293,152,0.0769230769230769,0.846153846153846,1,196.361627245005,14.4578313253012,17
"18","louisiana",18,2010,74.025974025974,3.24675324675325,0,5,154,114,0,0,1,193.859620582523,24.0963855421687,18
"19","massachusetts",19,2010,60.9120521172638,5.53745928338762,0.738327904451683,17,307,187,0.133333333333333,2.26666666666667,1,207.955841139097,31.3253012048193,19
"20","maryland",20,2010,53.0973451327434,4.71976401179941,0.51622418879056,16,339,180,0.109375,1.75,1,225.522399110465,28.9156626506024,20
"21","maine",21,2010,35.7541899441341,3.91061452513966,1.03516266841932,7,179,64,0.264705882352941,1.85294117647059,1,158.192832385477,43.3734939759036,21
"22","michigan",22,2010,58.5263157894737,5.26315789473684,0.88539104771274,25,475,278,0.168224299065421,4.20560747663551,1,270.356523613083,7.2289156626506,22
"23","minnesota",23,2010,51.9480519480519,7.14285714285714,0.970017636684303,22,308,160,0.135802469135802,2.98765432098765,1,233.496208697584,31.3253012048193,23
